trial,state,value,duration_s,param_lambda,param_beta
0,COMPLETE,0.4668051342361494,2057.763989,1.7873564613001214,0.9278214378844623
1,COMPLETE,0.24945054945054945,2028.120719,6.028563143721882,0.7693963178886665
2,COMPLETE,0.5353056249175268,2016.560726,0.8500186494605505,0.5701975341512912
3,COMPLETE,0.5300169781121866,2040.503072,0.609209325111088,0.8897792655987208
4,COMPLETE,0.38163771712159045,2007.054612,3.862689194653676,0.8186326600082204
5,COMPLETE,0.5255350383414182,2028.847434,0.5362604871585998,0.9364594334728974
6,COMPLETE,0.14285714285714324,2004.863176,8.483766803598272,0.5955525998052242
7,COMPLETE,0.49176862660804943,2012.097333,0.9279990423245288,0.5825320294340453
8,COMPLETE,0.46725889734051407,2005.731575,1.4072546358030324,0.7361403942345071
9,COMPLETE,0.4437868583029868,2052.346086,2.1727270548647377,0.6310531130891188
10,COMPLETE,0.1575091575091575,464.840879,4.006368751999268,0.5627722372934189
11,COMPLETE,0.3711082349442242,464.392698,1.3505263874802735,0.6648628294821612
12,COMPLETE,0.37934388192452706,524.773928,2.3585260188125883,0.8533291826268561
13,COMPLETE,0.42979395882716886,953.672257,0.9860805485286999,0.7314054972861253
14,COMPLETE,0.14725274725274723,463.629932,3.7500594752084933,0.520902685723999
15,COMPLETE,0.5463582048795871,2016.396205,0.5435006900672886,0.7896063928379521
16,COMPLETE,0.16483516483516483,461.242002,13.523648613588907,0.8890055375555438
17,COMPLETE,0.5311827928727908,2010.780323,0.5029291880807324,0.7108023480802516
18,COMPLETE,0.5298538124391385,2045.255589,0.702216088035682,0.5464294616849911
19,COMPLETE,0.39227875117498134,537.112813,1.2905311373104873,0.5099654363543815
20,COMPLETE,0.5060494879228429,2010.440765,0.5894234388690625,0.7499738907877312
21,COMPLETE,0.5257341542472858,2010.557698,0.5700440238761161,0.6935980630202023
22,COMPLETE,0.5753194836921466,2014.411509,0.5125085936697402,0.7238211737280145
23,COMPLETE,0.48479030182441535,1425.475599,0.6822826707552802,0.8421866523412418
24,COMPLETE,0.4461062348741308,1014.701001,0.6677575320970456,0.6397803962810273
25,COMPLETE,0.5369856639866271,2155.432865,0.5722772972120472,0.7872225588789483
26,COMPLETE,0.46576785453495617,1187.017359,0.506619786675251,0.8032612878862477
27,COMPLETE,0.41655136371991974,874.51756,0.8570764129094284,0.8035421719120194
28,COMPLETE,0.40686154110172745,630.226461,1.2900175347794274,0.8328457017501167
29,COMPLETE,0.5410989552972623,2162.418713,0.5545726024548583,0.8130484267164051
30,COMPLETE,0.40663759481870654,586.108387,1.80540581448744,0.9475110969465335
31,COMPLETE,0.5101896853117139,1819.704015,0.6032464852964539,0.8011138729349904
32,COMPLETE,0.5369840788430225,2119.430283,0.5036070479581822,0.7393124552352309
33,COMPLETE,0.5649019806387117,2089.105107,0.5568016905604604,0.8030431731306946
