trial,state,value,duration_s,param_lambda_u,param_K,param_temperature,param_warmup_epochs
0,COMPLETE,0.4119318643078721,3411.650959,9.363502971184062,1,0.29356270912614957,23
1,COMPLETE,0.4363372614916513,3368.409882,15.02787529358022,3,0.38636872540532546,8
2,COMPLETE,0.44423547414775,3439.836857,7.606056073988443,4,0.4691084864014136,12
3,COMPLETE,0.4327767498093569,3467.772288,11.401749605425898,1,0.7056586389260788,8
4,COMPLETE,0.4412356075121693,3356.950367,1.626289824631988,2,0.7631747698841177,14
5,COMPLETE,0.4348889315115514,3483.174802,3.050955871119471,3,0.4837833070670582,15
6,COMPLETE,0.4447796823527529,3407.977487,13.667756983581992,2,0.6984249841083139,24
7,COMPLETE,0.4668410378773887,3424.36246,2.2123125512979875,4,0.871553131863947,12
8,COMPLETE,0.45576883359190995,3464.783668,7.023362742184519,5,0.8291835769724931,9
9,COMPLETE,0.40322442407644277,3490.747367,0.13805292809005998,1,0.5188492964082044,7
10,COMPLETE,0.4006766826295369,3491.763712,21.577585646889837,1,0.7972046337535481,18
11,COMPLETE,0.4334076002758634,3426.38711,22.180318564408164,4,0.8282253849659207,15
12,COMPLETE,0.4148428381821466,3434.50671,13.068320734549852,5,0.485766985807245,15
13,COMPLETE,0.42722596311974215,3423.638379,22.689161848152324,3,0.467313589685326,8
14,COMPLETE,0.45069095066517273,3420.000854,23.242441308564327,3,0.9194192488674833,16
15,COMPLETE,0.45300172364260183,3428.348229,3.6241122413624636,4,0.8623686570335501,8
16,COMPLETE,0.36320884632630623,3436.134721,15.994954828168371,5,0.9103996320283922,7
17,COMPLETE,0.4375382864080247,3413.905453,10.007532523970362,5,0.8297956218371187,15
18,COMPLETE,0.49345510894318495,3432.819719,5.086807274012063,4,0.9035096171315988,22
19,COMPLETE,0.4507318914260706,3419.455404,8.311510810758456,4,0.9656579488120038,16
20,COMPLETE,0.5021145039118181,3398.254147,2.8971198890285463,5,0.7020300549751057,21
21,COMPLETE,0.5072843674802001,3308.670252,1.274833918153529,5,0.9034297787487182,23
22,COMPLETE,0.4820607430197583,3334.165114,1.845445352663271,5,0.8260735375428436,25
23,COMPLETE,0.49162831085330827,3332.986299,3.045186384538818,4,0.6663734473680364,21
24,COMPLETE,0.476576804383302,3314.698972,10.805560908487276,4,0.8912871311179908,25
25,RUNNING,,,3.3025267135567553,3,0.9891590372650341,24
26,COMPLETE,0.4674756160660024,3841.631448,0.6784135334751712,1,0.9567277950930178,25
27,COMPLETE,0.4670032846346544,3784.513834,2.034246528135112,3,0.9673941728530048,20
28,COMPLETE,0.451383608895685,3800.78568,1.2707675481494687,5,0.5490219110530706,17
29,COMPLETE,0.46584022345192083,3776.367915,9.898075669735253,5,0.7193101868706374,25
30,COMPLETE,0.4851519499005564,3781.494053,0.4341125027922135,5,0.8687173173125232,18
31,COMPLETE,0.4078468323716068,824.352853,7.717409576856478,1,0.7320153666809789,19
32,COMPLETE,0.47818659159950555,3886.447349,6.092449712691931,4,0.6417705321551203,22
33,COMPLETE,0.47753018200974606,3891.776969,2.336263781291469,4,0.9264436611429934,21
34,COMPLETE,0.4735415980388499,3890.204988,7.033070357416568,5,0.9626198973462439,25
35,COMPLETE,0.4832577133598733,3884.191739,1.2490986881634356,3,0.6512412044297288,25
36,COMPLETE,0.4901384013006293,3764.608124,0.21886179052235466,4,0.6580520648113042,22
37,COMPLETE,0.4679207995855762,3771.313087,3.0299596921930743,2,0.6888009382356203,23
38,COMPLETE,0.45011896920706584,3886.470044,15.37363697252221,5,0.2984073581719962,25
39,COMPLETE,0.45962062010579957,3779.987385,3.8024899855888603,5,0.6557945257469995,20
40,COMPLETE,0.46674449942294133,3784.477673,1.7153800938159511,2,0.9389179081508516,18
41,COMPLETE,0.43735508382256005,3785.043631,6.467169882564084,4,0.7547045263960285,19
42,COMPLETE,0.48858267607849226,3773.219855,0.43088091012615637,4,0.6539010384925799,25
43,COMPLETE,0.4668718054314954,3777.405958,4.309617676987779,4,0.5389971803717687,18
44,COMPLETE,0.40725627410811854,822.796041,23.998588053934967,4,0.3949143441588939,17
45,COMPLETE,0.4733877544839899,3786.091789,1.3183755884490962,4,0.7438049471767703,20
46,COMPLETE,0.4741344880996838,3879.449037,9.480070189702964,3,0.8679501737393743,23
47,COMPLETE,0.41838795134923695,844.207441,2.8611978585368947,1,0.45281253805679866,22
48,COMPLETE,0.4626919348408595,3774.304736,3.0473651027208084,2,0.3007120630066451,25
49,COMPLETE,0.45101579131862196,3771.70868,4.259220204960435,5,0.286209667474585,11
