protocol,method,tau,fold,source_file,BA,MacroF1,MacroAUC
A,AsyCo,0.3,7,results/main_experiment/scratch_adam/training/asyco_divmix/tau_30/fold_07/test_metrics.json,0.3926789042866835,0.12395795338239368,0.807713119212495
A,AsyCo,0.3,8,results/main_experiment/scratch_adam/training/asyco_divmix/tau_30/fold_08/test_metrics.json,0.4153737841055903,0.14433965310376776,0.8430033498896821
A,AsyCo,0.3,9,results/main_experiment/scratch_adam/training/asyco_divmix/tau_30/fold_09/test_metrics.json,0.43937133944176093,0.1698873589077718,0.8415142733945924
A,AsyCo,0.4,0,results/main_experiment/scratch_adam/training/asyco_divmix/tau_40/fold_00/test_metrics.json,0.423432405789859,0.11470779767210351,0.8328475302772862
A,AsyCo,0.4,1,results/main_experiment/scratch_adam/training/asyco_divmix/tau_40/fold_01/test_metrics.json,0.3736236084471457,0.0933846334837539,0.8064545973423556
A,AsyCo,0.4,2,results/main_experiment/scratch_adam/training/asyco_divmix/tau_40/fold_02/test_metrics.json,0.416220163385125,0.1347796178393526,0.8114274040449355
A,AsyCo,0.4,3,results/main_experiment/scratch_adam/training/asyco_divmix/tau_40/fold_03/test_metrics.json,0.4036972558498978,0.16302406298970404,0.7810450483418615
A,AsyCo,0.4,4,results/main_experiment/scratch_adam/training/asyco_divmix/tau_40/fold_04/test_metrics.json,0.44246934435836327,0.1679605346444994,0.8070172719324605
A,AsyCo,0.4,5,results/main_experiment/scratch_adam/training/asyco_divmix/tau_40/fold_05/test_metrics.json,0.3925262081216682,0.1108233546752502,0.781392030563788
A,AsyCo,0.4,6,results/main_experiment/scratch_adam/training/asyco_divmix/tau_40/fold_06/test_metrics.json,0.39380798202201317,0.09682676167704711,0.7950981072245086
A,AsyCo,0.4,7,results/main_experiment/scratch_adam/training/asyco_divmix/tau_40/fold_07/test_metrics.json,0.3920094363106471,0.16373999621739313,0.8021920698315912
A,AsyCo,0.4,8,results/main_experiment/scratch_adam/training/asyco_divmix/tau_40/fold_08/test_metrics.json,0.40825142342299453,0.10816137032916207,0.8011273852583011
A,AsyCo,0.4,9,results/main_experiment/scratch_adam/training/asyco_divmix/tau_40/fold_09/test_metrics.json,0.4216373936951906,0.17052693101988817,0.8408473124495899
A,AsyCo,0.5,0,results/main_experiment/scratch_adam/training/asyco_divmix/tau_50/fold_00/test_metrics.json,0.410308783269322,0.1003453326242196,0.8001668846998744
A,AsyCo,0.5,1,results/main_experiment/scratch_adam/training/asyco_divmix/tau_50/fold_01/test_metrics.json,0.3445687089914444,0.0889560349028915,0.7587805262151507
A,AsyCo,0.5,2,results/main_experiment/scratch_adam/training/asyco_divmix/tau_50/fold_02/test_metrics.json,0.4053647653628914,0.12364168625443824,0.791984516632894
A,AsyCo,0.5,3,results/main_experiment/scratch_adam/training/asyco_divmix/tau_50/fold_03/test_metrics.json,0.2883528394954441,0.10991417801600502,0.7496327883051597
A,AsyCo,0.5,4,results/main_experiment/scratch_adam/training/asyco_divmix/tau_50/fold_04/test_metrics.json,0.3753471248495191,0.12840327349789835,0.7760726657253526
A,AsyCo,0.5,5,results/main_experiment/scratch_adam/training/asyco_divmix/tau_50/fold_05/test_metrics.json,0.3893033863148923,0.12403911987681585,0.7632960699450556
A,AsyCo,0.5,6,results/main_experiment/scratch_adam/training/asyco_divmix/tau_50/fold_06/test_metrics.json,0.36734736732191164,0.10208666607148402,0.7420069989706571
A,AsyCo,0.5,7,results/main_experiment/scratch_adam/training/asyco_divmix/tau_50/fold_07/test_metrics.json,0.3351481573671792,0.12405030977838502,0.7672533352964687
A,AsyCo,0.5,8,results/main_experiment/scratch_adam/training/asyco_divmix/tau_50/fold_08/test_metrics.json,0.4263551335132641,0.11349131590162789,0.8094004714612989
A,AsyCo,0.5,9,results/main_experiment/scratch_adam/training/asyco_divmix/tau_50/fold_09/test_metrics.json,0.39839791288674065,0.10713554190583863,0.7955976422013118
A,ELR,0.0,0,results/main_experiment/scratch_adam/training/elr/tau_00/fold_00/test_metrics.json,0.6004595330024934,0.2979819386958629,0.8781327790398695
A,ELR,0.0,1,results/main_experiment/scratch_adam/training/elr/tau_00/fold_01/test_metrics.json,0.5704154364280021,0.2810591250702417,0.8358020294723535
A,ELR,0.0,2,results/main_experiment/scratch_adam/training/elr/tau_00/fold_02/test_metrics.json,0.6048508925345641,0.34950436918808503,0.8871563915078268
A,ELR,0.0,3,results/main_experiment/scratch_adam/training/elr/tau_00/fold_03/test_metrics.json,0.5595894813778787,0.3374720291020599,0.8288149212179688
A,ELR,0.0,4,results/main_experiment/scratch_adam/training/elr/tau_00/fold_04/test_metrics.json,0.5402442297984837,0.3102759305200097,0.8187679727060949
A,ELR,0.0,5,results/main_experiment/scratch_adam/training/elr/tau_00/fold_05/test_metrics.json,0.595748827144648,0.2999097430518743,0.8691490252896167
A,ELR,0.0,6,results/main_experiment/scratch_adam/training/elr/tau_00/fold_06/test_metrics.json,0.5892317548258201,0.27776284334425155,0.8628799049998221
A,ELR,0.0,7,results/main_experiment/scratch_adam/training/elr/tau_00/fold_07/test_metrics.json,0.6347210020055322,0.3421064514175049,0.879589509666801
A,ELR,0.0,8,results/main_experiment/scratch_adam/training/elr/tau_00/fold_08/test_metrics.json,0.6258539890702869,0.31783563061025005,0.880757359479644
