method,metric,tau,protocol_1,protocol_2,folds,n,delta,delta_ci_lo,delta_ci_hi,W,p_wilcoxon,p_perm,r_rb,direction,n_boot,perm_exact,p_wilcoxon_holm,p_perm_holm,sig,sig_perm,concordant,flag,p_raw,p_holm,mean_delta
SCE,MacroAUC,0.4,S,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.013206116078036623,-0.01866477787502636,-0.007321956075776815,3.0,0.009765625,0.0078125,-0.8909090909090909,-1,10000,True,0.01953125,0.015625,-*,-*,True,,0.009765625,0.01953125,-0.013206116078036623
SCE,MacroAUC,0.4,SP,A,"0,1,2,3,4,5,6,7,8,9",10,0.04996246748224624,0.03663791782260014,0.06386601603231305,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.04996246748224624
SCE,MacroAUC,0.4,SP,AP,"0,1,2,3,4,5,6,7,8,9",10,0.025594374211385672,0.015713534165272026,0.035573072177940576,1.0,0.00390625,0.00390625,0.9636363636363636,1,10000,True,0.015625,0.015625,+*,+*,True,,0.00390625,0.015625,0.025594374211385672
SCE,MacroAUC,0.4,A,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.02436809327086057,-0.036771934329536696,-0.012609319745829252,1.0,0.00390625,0.00390625,-0.9636363636363636,-1,10000,True,0.015625,0.015625,-*,-*,True,,0.00390625,0.015625,-0.02436809327086057
SCE,MacroAUC,0.5,S,SP,"0,1,2,3,4,5,6,7,8,9",10,-0.0342956580720727,-0.045185753331658765,-0.02219200045070393,1.0,0.00390625,0.00390625,-0.9636363636363636,-1,10000,True,0.015625,0.015625,-*,-*,True,,0.00390625,0.015625,-0.0342956580720727
SCE,MacroAUC,0.5,S,A,"0,1,2,3,4,5,6,7,8,9",10,0.007816898783561056,-0.0020332192635862693,0.01626686090609878,13.0,0.16015625,0.14453125,0.5272727272727273,1,10000,True,0.16015625,0.14453125,n.s.,n.s.,True,,0.16015625,0.16015625,0.007816898783561056
SCE,MacroAUC,0.5,S,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.013237016678124314,-0.024839733425863878,-0.0007637802299477353,9.0,0.064453125,0.072265625,-0.6727272727272727,-1,10000,True,0.12890625,0.14453125,n.s.,n.s.,True,,0.064453125,0.12890625,-0.013237016678124314
SCE,MacroAUC,0.5,SP,A,"0,1,2,3,4,5,6,7,8,9",10,0.042112556855633754,0.031366754651225494,0.053244403428026194,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.042112556855633754
SCE,MacroAUC,0.5,SP,AP,"0,1,2,3,4,5,6,7,8,9",10,0.021058641393948384,0.015337880399970926,0.025898170961575564,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.021058641393948384
SCE,MacroAUC,0.5,A,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.02105391546168537,-0.03082156000951387,-0.01121396960451919,2.0,0.005859375,0.005859375,-0.9272727272727272,-1,10000,True,0.017578125,0.017578125,-*,-*,True,,0.005859375,0.017578125,-0.02105391546168537
ELR,BA,0.0,S,SP,"0,1,2,3,4,5,6,7,8,9",10,-0.07039924232239142,-0.09351537217653587,-0.049015380044164926,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.07039924232239142
ELR,BA,0.0,S,A,"0,1,2,3,4,5,6,7,8,9",10,0.0031507257754844085,-0.01650374875697969,0.022769891729914393,24.0,0.76953125,0.7734375,0.12727272727272732,1,10000,True,0.76953125,0.7734375,n.s.,n.s.,True,,0.76953125,0.76953125,0.0031507257754844085
ELR,BA,0.0,S,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.08321239964103319,-0.11568076458490961,-0.05819840134720411,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.08321239964103319
ELR,BA,0.0,SP,A,"0,1,2,3,4,5,6,7,8,9",10,0.07354996809787583,0.05879771649302444,0.08912639250348554,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.07354996809787583
ELR,BA,0.0,SP,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.012813157318641766,-0.030474697105239732,0.004529772578906592,16.0,0.275390625,0.208984375,-0.4181818181818182,-1,10000,True,0.55078125,0.41796875,n.s.,n.s.,True,,0.275390625,0.55078125,-0.012813157318641766
ELR,BA,0.0,A,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.0863631254165176,-0.1075417369210571,-0.06683691748315268,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.0863631254165176
ELR,BA,0.1,S,SP,"0,1,2,3,4,5,6,7,8,9",10,-0.0732503487042328,-0.09746188927548115,-0.046710364464635896,1.0,0.00390625,0.00390625,-0.9636363636363636,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.00390625,0.01171875,-0.0732503487042328
ELR,BA,0.1,S,A,"0,1,2,3,4,5,6,7,8,9",10,0.007793268158384869,-0.014434466620864506,0.03191180786679432,22.0,0.625,0.576171875,0.19999999999999996,1,10000,True,0.75,0.6328125,n.s.,n.s.,True,,0.625,0.75,0.007793268158384869
ELR,BA,0.1,S,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.06170879736903654,-0.07905881453431075,-0.044904472780663604,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.06170879736903654
ELR,BA,0.1,SP,A,"0,1,2,3,4,5,6,7,8,9",10,0.08104361686261767,0.059104895744860414,0.10206634345682282,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.08104361686261767
ELR,BA,0.1,SP,AP,"0,1,2,3,4,5,6,7,8,9",10,0.011541551335196265,-0.0075378969263594775,0.03204706982280728,18.0,0.375,0.31640625,0.34545454545454546,1,10000,True,0.75,0.6328125,n.s.,n.s.,True,,0.375,0.75,0.011541551335196265
ELR,BA,0.1,A,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.06950206552742141,-0.0935287066616204,-0.044643318074684725,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.06950206552742141
ELR,BA,0.2,S,SP,"0,1,2,3,4,5,6,7,8,9",10,-0.07357125620812109,-0.09652659013745361,-0.04894981984570342,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.07357125620812109
ELR,BA,0.2,S,A,"0,1,2,3,4,5,6,7,8,9",10,0.04204801072197845,0.019759675625805793,0.06599274213969766,3.0,0.009765625,0.0078125,0.8909090909090909,1,10000,True,0.01953125,0.015625,+*,+*,True,,0.009765625,0.01953125,0.04204801072197845
ELR,BA,0.2,S,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.07467037393526503,-0.09420500936330295,-0.05644576717804685,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.07467037393526503
ELR,BA,0.2,SP,A,"0,1,2,3,4,5,6,7,8,9",10,0.11561926693009957,0.09390000094555903,0.1381462826360946,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.11561926693009957
ELR,BA,0.2,SP,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.00109911772714395,-0.02155585962922288,0.01943189133007018,26.0,0.921875,0.923828125,-0.054545454545454564,-1,10000,True,0.921875,0.923828125,n.s.,n.s.,True,,0.921875,0.921875,-0.00109911772714395
ELR,BA,0.2,A,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.11671838465724352,-0.13386700602730503,-0.09953328073871563,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.11671838465724352
ELR,BA,0.3,S,SP,"0,1,2,3,4,5,6,7,8,9",10,-0.07913482074078156,-0.09706134845215716,-0.06288159595861934,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.07913482074078156
ELR,BA,0.3,S,A,"0,1,2,3,4,5,6,7,8,9",10,0.013631411080642631,-0.006766860909922543,0.03308118521435425,15.0,0.232421875,0.232421875,0.4545454545454546,1,10000,True,0.38671875,0.232421875,n.s.,n.s.,True,,0.232421875,0.38671875,0.013631411080642631
ELR,BA,0.3,S,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.06102655253014605,-0.07986903018832345,-0.042705672942045546,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.06102655253014605
ELR,BA,0.3,SP,A,"0,1,2,3,4,5,6,7,8,9",10,0.09276623182142418,0.065443413642711,0.12011527378072093,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.09276623182142418
ELR,BA,0.3,SP,AP,"0,1,2,3,4,5,6,7,8,9",10,0.0181082682106355,-0.0002792276614687006,0.03710734233304901,14.0,0.193359375,0.11328125,0.49090909090909096,1,10000,True,0.38671875,0.2265625,n.s.,n.s.,True,,0.193359375,0.38671875,0.0181082682106355
ELR,BA,0.3,A,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.07465796361078869,-0.10452657578794948,-0.04299150966249918,2.0,0.005859375,0.005859375,-0.9272727272727272,-1,10000,True,0.017578125,0.017578125,-*,-*,True,,0.005859375,0.017578125,-0.07465796361078869
ELR,BA,0.4,S,SP,"0,1,2,3,4,5,6,7,8,9",10,-0.06784294509955047,-0.09313472614105846,-0.040014363838124185,2.0,0.005859375,0.005859375,-0.9272727272727272,-1,10000,True,0.017578125,0.017578125,-*,-*,True,,0.005859375,0.017578125,-0.06784294509955047
ELR,BA,0.4,S,A,"0,1,2,3,4,5,6,7,8,9",10,0.016641948795387884,-0.0042986270152496255,0.03719304751907669,14.0,0.193359375,0.166015625,0.49090909090909096,1,10000,True,0.2109375,0.19921875,n.s.,n.s.,True,,0.193359375,0.2109375,0.016641948795387884
ELR,BA,0.4,S,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.052944768054941416,-0.07238585312483735,-0.03362288595613288,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.052944768054941416
ELR,BA,0.4,SP,A,"0,1,2,3,4,5,6,7,8,9",10,0.08448489389493836,0.06068881117258354,0.106915936761649,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.08448489389493836
ELR,BA,0.4,SP,AP,"0,1,2,3,4,5,6,7,8,9",10,0.014898177044609051,-0.0014032999136188503,0.02864338238983979,11.0,0.10546875,0.099609375,0.6,1,10000,True,0.2109375,0.19921875,n.s.,n.s.,True,,0.10546875,0.2109375,0.014898177044609051
ELR,BA,0.4,A,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.06958671685032931,-0.0892790784361886,-0.05017670120945517,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.06958671685032931
ELR,BA,0.5,S,SP,"0,1,2,3,4,5,6,7,8,9",10,-0.0667069606078142,-0.10401257337525692,-0.030517503535942188,3.0,0.009765625,0.009765625,-0.8909090909090909,-1,10000,True,0.0390625,0.0390625,-*,-*,True,,0.009765625,0.0390625,-0.0667069606078142
ELR,BA,0.5,S,A,"0,1,2,3,4,5,6,7,8,9",10,0.028488501684349844,0.007729337195048283,0.0509445968550267,7.0,0.037109375,0.037109375,0.7454545454545455,1,10000,True,0.07421875,0.07421875,n.s.,n.s.,True,,0.037109375,0.07421875,0.028488501684349844
ELR,BA,0.5,S,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.04314204119516468,-0.06788546476148323,-0.018232153729442348,3.0,0.009765625,0.009765625,-0.8909090909090909,-1,10000,True,0.0390625,0.0390625,-*,-*,True,,0.009765625,0.0390625,-0.04314204119516468
ELR,BA,0.5,SP,A,"0,1,2,3,4,5,6,7,8,9",10,0.09519546229216405,0.06616269284780203,0.13105145674116978,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.09519546229216405
ELR,BA,0.5,SP,AP,"0,1,2,3,4,5,6,7,8,9",10,0.023564919412649533,-0.0001891685762661458,0.051700614083501004,13.0,0.16015625,0.115234375,0.5272727272727273,1,10000,True,0.16015625,0.115234375,n.s.,n.s.,True,,0.16015625,0.16015625,0.023564919412649533
ELR,BA,0.5,A,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.07163054287951452,-0.09015019703689663,-0.05200684550315488,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.07163054287951452
ELR,MacroF1,0.0,S,SP,"0,1,2,3,4,5,6,7,8,9",10,-0.12278878064319201,-0.14326572288055867,-0.10155124808651103,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.12278878064319201
ELR,MacroF1,0.0,S,A,"0,1,2,3,4,5,6,7,8,9",10,-0.0049926272067254305,-0.023895128751706015,0.013105628324971783,24.0,0.76953125,0.630859375,-0.12727272727272732,-1,10000,True,0.76953125,0.91796875,n.s.,n.s.,True,,0.76953125,0.76953125,-0.0049926272067254305
ELR,MacroF1,0.0,S,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.10929109080325139,-0.15460626349707868,-0.07637795351271409,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.10929109080325139
ELR,MacroF1,0.0,SP,A,"0,1,2,3,4,5,6,7,8,9",10,0.11779615343646661,0.10228262666293349,0.13452207905305333,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.11779615343646661
ELR,MacroF1,0.0,SP,AP,"0,1,2,3,4,5,6,7,8,9",10,0.013497689839940635,-0.021069962295507016,0.038073104745868724,10.0,0.083984375,0.458984375,0.6363636363636364,1,10000,True,0.16796875,0.91796875,n.s.,n.s.,True,,0.083984375,0.16796875,0.013497689839940635
ELR,MacroF1,0.0,A,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.10429846359652595,-0.14438863057819865,-0.07612216509837373,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.10429846359652595
ELR,MacroF1,0.1,S,SP,"0,1,2,3,4,5,6,7,8,9",10,-0.0693474935097951,-0.08269317395984131,-0.05459254622900811,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.0693474935097951
ELR,MacroF1,0.1,S,A,"0,1,2,3,4,5,6,7,8,9",10,0.0049189713699402645,-0.0067844900804474185,0.015810772249017314,17.0,0.322265625,0.447265625,0.38181818181818183,1,10000,True,0.322265625,0.447265625,n.s.,n.s.,True,,0.322265625,0.322265625,0.0049189713699402645
ELR,MacroF1,0.1,S,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.044339790198960095,-0.05453968814161507,-0.03415616731367297,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.044339790198960095
ELR,MacroF1,0.1,SP,A,"0,1,2,3,4,5,6,7,8,9",10,0.07426646487973536,0.06159523689548193,0.08662093728580833,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.07426646487973536
ELR,MacroF1,0.1,SP,AP,"0,1,2,3,4,5,6,7,8,9",10,0.025007703310834996,0.013026284947245535,0.036547993805076485,3.0,0.009765625,0.0078125,0.8909090909090909,1,10000,True,0.01953125,0.015625,+*,+*,True,,0.009765625,0.01953125,0.025007703310834996
ELR,MacroF1,0.1,A,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.04925876156890037,-0.06240867336652455,-0.036680561564058106,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.04925876156890037
ELR,MacroF1,0.2,S,SP,"0,1,2,3,4,5,6,7,8,9",10,-0.06408612321763699,-0.07656177731643563,-0.05176607027516922,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.06408612321763699
ELR,MacroF1,0.2,S,A,"0,1,2,3,4,5,6,7,8,9",10,0.01442944154253259,0.0063101298218309326,0.02124911405683495,4.0,0.013671875,0.009765625,0.8545454545454545,1,10000,True,0.02734375,0.01953125,+*,+*,True,,0.013671875,0.02734375,0.01442944154253259
ELR,MacroF1,0.2,S,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.04960001347737025,-0.06117793493697771,-0.03803633092586824,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.04960001347737025
ELR,MacroF1,0.2,SP,A,"0,1,2,3,4,5,6,7,8,9",10,0.07851556476016959,0.06899754047852831,0.08758946842785625,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.07851556476016959
ELR,MacroF1,0.2,SP,AP,"0,1,2,3,4,5,6,7,8,9",10,0.014486109740266744,0.005829674452251682,0.02317067254349162,5.0,0.01953125,0.013671875,0.8181818181818181,1,10000,True,0.02734375,0.01953125,+*,+*,True,,0.01953125,0.02734375,0.014486109740266744
ELR,MacroF1,0.2,A,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.06402945501990284,-0.07305699650234249,-0.05553635413617081,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.06402945501990284
ELR,MacroF1,0.3,S,SP,"0,1,2,3,4,5,6,7,8,9",10,-0.06095993410362033,-0.0698644116674619,-0.05099347878327799,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.06095993410362033
ELR,MacroF1,0.3,S,A,"0,1,2,3,4,5,6,7,8,9",10,0.010986805066134114,0.006082792912698798,0.01582338897937876,1.0,0.00390625,0.00390625,0.9636363636363636,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.00390625,0.01171875,0.010986805066134114
ELR,MacroF1,0.3,S,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.03833362128496091,-0.04743269691906132,-0.02957090528200772,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.03833362128496091
ELR,MacroF1,0.3,SP,A,"0,1,2,3,4,5,6,7,8,9",10,0.07194673916975444,0.06027465860219676,0.08280401292473752,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.07194673916975444
ELR,MacroF1,0.3,SP,AP,"0,1,2,3,4,5,6,7,8,9",10,0.02262631281865943,0.014985640350043005,0.03046190196624385,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.02262631281865943
ELR,MacroF1,0.3,A,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.04932042635109502,-0.059499945751774315,-0.0382977944955546,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.04932042635109502
ELR,MacroF1,0.4,S,SP,"0,1,2,3,4,5,6,7,8,9",10,-0.05413963991462588,-0.06735579062416225,-0.04014215747815717,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.05413963991462588
ELR,MacroF1,0.4,S,A,"0,1,2,3,4,5,6,7,8,9",10,0.009369164863662096,0.002312731584177655,0.016541141136801076,7.0,0.037109375,0.041015625,0.7454545454545455,1,10000,True,0.037109375,0.041015625,+*,+*,True,,0.037109375,0.037109375,0.009369164863662096
ELR,MacroF1,0.4,S,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.03877323732829609,-0.04552051565686626,-0.03245631930372396,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.03877323732829609
ELR,MacroF1,0.4,SP,A,"0,1,2,3,4,5,6,7,8,9",10,0.06350880477828798,0.05287855990176184,0.07488090486963835,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.06350880477828798
ELR,MacroF1,0.4,SP,AP,"0,1,2,3,4,5,6,7,8,9",10,0.015366402586329795,0.0059907841034484806,0.023655222313734913,3.0,0.009765625,0.013671875,0.8909090909090909,1,10000,True,0.01953125,0.02734375,+*,+*,True,,0.009765625,0.01953125,0.015366402586329795
ELR,MacroF1,0.4,A,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.048142402191958186,-0.054063562280231854,-0.041896095652586715,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.048142402191958186
ELR,MacroF1,0.5,S,SP,"0,1,2,3,4,5,6,7,8,9",10,-0.06143528252719126,-0.07565322305780571,-0.04547538645040455,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.06143528252719126
ELR,MacroF1,0.5,S,A,"0,1,2,3,4,5,6,7,8,9",10,0.011859169242316208,0.0030482926271920936,0.021578305197063344,7.0,0.037109375,0.0390625,0.7454545454545455,1,10000,True,0.037109375,0.0390625,+*,+*,True,,0.037109375,0.037109375,0.011859169242316208
ELR,MacroF1,0.5,S,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.034437257505323456,-0.045100556662393244,-0.020074383236328337,2.0,0.005859375,0.005859375,-0.9272727272727272,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.005859375,0.01171875,-0.034437257505323456
ELR,MacroF1,0.5,SP,A,"0,1,2,3,4,5,6,7,8,9",10,0.07329445176950747,0.060988640284652,0.08677169482780255,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.07329445176950747
ELR,MacroF1,0.5,SP,AP,"0,1,2,3,4,5,6,7,8,9",10,0.0269980250218678,0.01757421686506736,0.036463183895404296,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.0269980250218678
ELR,MacroF1,0.5,A,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.04629642674763966,-0.05401117711712452,-0.038499835649828965,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.04629642674763966
ELR,MacroAUC,0.0,S,SP,"0,1,2,3,4,5,6,7,8,9",10,-0.022154706580729842,-0.03215105856010919,-0.012336408685993823,1.0,0.00390625,0.00390625,-0.9636363636363636,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.00390625,0.01171875,-0.022154706580729842
ELR,MacroAUC,0.0,S,A,"0,1,2,3,4,5,6,7,8,9",10,0.006816452593874844,0.0021590443309702423,0.010621681121113018,7.0,0.037109375,0.0234375,0.7454545454545455,1,10000,True,0.07421875,0.046875,n.s.,+*,False,!,0.037109375,0.07421875,0.006816452593874844
ELR,MacroAUC,0.0,S,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.0300197334224645,-0.04506799086046583,-0.017359765828354697,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.0300197334224645
ELR,MacroAUC,0.0,SP,A,"0,1,2,3,4,5,6,7,8,9",10,0.028971159174604688,0.019692082797751163,0.03883078259793648,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.028971159174604688
ELR,MacroAUC,0.0,SP,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.007865026841734657,-0.018883467827992655,0.004258460675201817,13.0,0.16015625,0.23828125,-0.5272727272727273,-1,10000,True,0.16015625,0.23828125,n.s.,n.s.,True,,0.16015625,0.16015625,-0.007865026841734657
ELR,MacroAUC,0.0,A,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.036836186016339346,-0.04916701696574741,-0.025411924166830364,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.036836186016339346
ELR,MacroAUC,0.1,S,SP,"0,1,2,3,4,5,6,7,8,9",10,-0.02629794779808512,-0.035522080862393,-0.017445724389198506,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.02629794779808512
ELR,MacroAUC,0.1,S,A,"0,1,2,3,4,5,6,7,8,9",10,0.002572517772041727,-0.005028002633795136,0.010933629099354459,23.0,0.6953125,0.5703125,0.1636363636363637,1,10000,True,0.86328125,0.87109375,n.s.,n.s.,True,,0.6953125,0.86328125,0.002572517772041727
ELR,MacroAUC,0.1,S,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.023111570878084065,-0.031021202686955622,-0.014713200589905802,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.023111570878084065
ELR,MacroAUC,0.1,SP,A,"0,1,2,3,4,5,6,7,8,9",10,0.028870465570126846,0.0184139570622777,0.038510043119435636,1.0,0.00390625,0.00390625,0.9636363636363636,1,10000,True,0.015625,0.015625,+*,+*,True,,0.00390625,0.015625,0.028870465570126846
ELR,MacroAUC,0.1,SP,AP,"0,1,2,3,4,5,6,7,8,9",10,0.003186376920001055,-0.004247856108177173,0.010310777314433335,19.0,0.431640625,0.435546875,0.3090909090909091,1,10000,True,0.86328125,0.87109375,n.s.,n.s.,True,,0.431640625,0.86328125,0.003186376920001055
ELR,MacroAUC,0.1,A,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.02568408865012579,-0.03711847245485332,-0.013581001132554088,2.0,0.005859375,0.005859375,-0.9272727272727272,-1,10000,True,0.017578125,0.017578125,-*,-*,True,,0.005859375,0.017578125,-0.02568408865012579
ELR,MacroAUC,0.2,S,SP,"0,1,2,3,4,5,6,7,8,9",10,-0.021911821225578852,-0.03359931257417152,-0.010364732186849997,2.0,0.005859375,0.005859375,-0.9272727272727272,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.005859375,0.01171875,-0.021911821225578852
ELR,MacroAUC,0.2,S,A,"0,1,2,3,4,5,6,7,8,9",10,0.01192393477329311,0.005776580830645071,0.01868997102267623,1.0,0.00390625,0.00390625,0.9636363636363636,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.00390625,0.01171875,0.01192393477329311
