protocol,metric,method,tau,folds,n,delta,delta_ci_lo,delta_ci_hi,W,p_wilcoxon,p_perm,r_rb,direction,n_boot,perm_exact,p_wilcoxon_holm,p_perm_holm,sig,sig_perm,concordant,flag,p_raw,p_holm,mean_delta
SP,BA,SCE,0.2,"0,1,2,3,4,5,6,7,8,9",10,0.08746287980228347,0.06267622142207839,0.11614681496539704,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.08746287980228347
SP,BA,SCE,0.3,"0,1,2,3,4,5,6,7,8,9",10,0.04784686816205451,0.02311273390180926,0.07152145810229456,3.0,0.009765625,0.0078125,0.8909090909090909,1,10000,True,0.029296875,0.0234375,+*,+*,True,,0.009765625,0.029296875,0.04784686816205451
SP,BA,SCE,0.4,"0,1,2,3,4,5,6,7,8,9",10,0.06579944572207598,0.03377354034702888,0.10067166563147226,1.0,0.00390625,0.00390625,0.9636363636363636,1,10000,True,0.015625,0.015625,+*,+*,True,,0.00390625,0.015625,0.06579944572207598
SP,BA,SCE,0.5,"0,1,2,3,4,5,6,7,8,9",10,0.03643114348553107,0.012312577106655474,0.05877727703353683,7.0,0.037109375,0.02734375,0.7454545454545455,1,10000,True,0.07421875,0.0546875,n.s.,n.s.,True,,0.037109375,0.07421875,0.03643114348553107
SP,BA,ELR,0.0,"0,1,2,3,4,5,6,7,8,9",10,-0.07072041091898068,-0.09283910201403557,-0.04537627027432823,1.0,0.00390625,0.00390625,-0.9636363636363636,-1,10000,True,0.0234375,0.0234375,-*,-*,True,,0.00390625,0.0234375,-0.07072041091898068
SP,BA,ELR,0.1,"0,1,2,3,4,5,6,7,8,9",10,-0.0061027938111796855,-0.023995456125851952,0.010288894068880831,23.0,0.6953125,0.541015625,-0.1636363636363637,-1,10000,True,1.0,1.0,n.s.,n.s.,True,,0.6953125,1.0,-0.0061027938111796855
SP,BA,ELR,0.2,"0,1,2,3,4,5,6,7,8,9",10,0.0027277214507338996,-0.023733612068949597,0.02951334530464831,27.0,1.0,0.865234375,0.018181818181818188,1,10000,True,1.0,1.0,n.s.,n.s.,True,,1.0,1.0,0.0027277214507338996
SP,BA,ELR,0.3,"0,1,2,3,4,5,6,7,8,9",10,0.005058686527287632,-0.0063131895547262305,0.017726085330036487,23.0,0.6953125,0.46484375,0.1636363636363637,1,10000,True,1.0,1.0,n.s.,n.s.,True,,0.6953125,1.0,0.005058686527287632
SP,BA,ELR,0.4,"0,1,2,3,4,5,6,7,8,9",10,-0.009139839477028965,-0.03372451357825335,0.017410324592009706,20.0,0.4921875,0.53515625,-0.2727272727272727,-1,10000,True,1.0,1.0,n.s.,n.s.,True,,0.4921875,1.0,-0.009139839477028965
SP,BA,ELR,0.5,"0,1,2,3,4,5,6,7,8,9",10,0.004413770406092038,-0.021159279949214408,0.032571523052575144,27.0,1.0,0.765625,0.018181818181818188,1,10000,True,1.0,1.0,n.s.,n.s.,True,,1.0,1.0,0.004413770406092038
