protocol,metric,tau,best_method,next_method,folds,exploratory,n,delta,delta_ci_lo,delta_ci_hi,W,p_wilcoxon,p_perm,r_rb,direction,n_boot,perm_exact,p_wilcoxon_holm,p_perm_holm,sig,sig_perm,concordant,flag,p_raw,p_holm,mean_delta
SP,BA,0.0,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.023820041996532627,0.0017021789095979939,0.04323932774224735,9.0,0.064453125,0.0546875,0.6727272727272727,1,10000,True,0.12890625,0.109375,n.s.,n.s.,True,,0.064453125,0.12890625,0.023820041996532627
SP,BA,0.1,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.08896082869799794,0.07308709341604273,0.10579191691571824,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.08896082869799794
SP,BA,0.2,SCE,ELR,"0,1,2,3,4,5,6,7,8,9",True,10,0.08473515835154957,0.06143670539680055,0.10644208561471648,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.08473515835154957
SP,BA,0.3,SCE,ELR,"0,1,2,3,4,5,6,7,8,9",True,10,0.04278818163476688,0.024654755361810197,0.06019261522936237,1.0,0.00390625,0.00390625,0.9636363636363636,1,10000,True,0.015625,0.015625,+*,+*,True,,0.00390625,0.015625,0.04278818163476688
SP,BA,0.4,SCE,AsyCo,"0,1,2,3,4,5,6,7,8,9",True,10,0.06309433321356797,0.029641055752909214,0.10015038299080953,2.0,0.005859375,0.005859375,0.9272727272727272,1,10000,True,0.017578125,0.017578125,+*,+*,True,,0.005859375,0.017578125,0.06309433321356797
SP,BA,0.5,SCE,ELR,"0,1,2,3,4,5,6,7,8,9",True,10,0.032017373079439033,0.004930150599276348,0.06022503542660468,9.0,0.064453125,0.060546875,0.6727272727272727,1,10000,True,0.12890625,0.109375,n.s.,n.s.,True,,0.064453125,0.12890625,0.032017373079439033
SP,MacroF1,0.0,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.16811956896661862,0.14763141377839353,0.1867885790178807,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.16811956896661862
SP,MacroF1,0.1,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.3026252136189419,0.28369135166638815,0.3187320937727314,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.3026252136189419
SP,MacroF1,0.2,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.24803628871095676,0.2318067534606707,0.26330710880978087,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.24803628871095676
SP,MacroF1,0.3,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.1931626869203939,0.1735556095681373,0.21137879243836902,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.1931626869203939
SP,MacroF1,0.4,SCE,AsyCo,"0,1,2,3,4,5,6,7,8,9",True,10,0.16190362519306303,0.1306418385097397,0.19395284812601052,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.16190362519306303
SP,MacroF1,0.5,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.11341464469389692,0.10167201786225626,0.1265713385923733,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.11341464469389692
SP,MacroAUC,0.0,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.02925591925747454,0.025290398703360143,0.033998426500928804,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.02925591925747454
SP,MacroAUC,0.1,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.03393401494810512,0.025765468865546336,0.04141079819314672,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.03393401494810512
SP,MacroAUC,0.2,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.037064704174643484,0.028324906508623616,0.04661357554677004,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.037064704174643484
SP,MacroAUC,0.3,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.036724572245804186,0.029577432119371857,0.04439355512385781,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.036724572245804186
SP,MacroAUC,0.4,SCE,AsyCo,"0,1,2,3,4,5,6,7,8,9",True,10,0.01957422551783472,0.0026934642928576323,0.03587128542778219,9.0,0.064453125,0.05859375,0.6727272727272727,1,10000,True,0.12890625,0.1171875,n.s.,n.s.,True,,0.064453125,0.12890625,0.01957422551783472
SP,MacroAUC,0.5,SCE,AsyCo,"0,1,2,3,4,5,6,7,8,9",True,10,0.013938645060485522,0.0011485293101563465,0.027619377161539248,10.0,0.083984375,0.080078125,0.6363636363636364,1,10000,True,0.12890625,0.1171875,n.s.,n.s.,True,,0.083984375,0.12890625,0.013938645060485522
A,BA,0.0,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.025853344533768863,0.0029908614712563283,0.04808270459679179,10.0,0.083984375,0.06640625,0.6363636363636364,1,10000,True,0.083984375,0.06640625,n.s.,n.s.,True,,0.083984375,0.083984375,0.025853344533768863
A,BA,0.1,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.07945278367963085,0.05459264799089701,0.10822873735957106,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.07945278367963085
A,BA,0.2,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.07836072085862783,0.065098282085288,0.09090391802607747,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.07836072085862783
A,BA,0.3,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.07071913815284156,0.05143570197168255,0.09155170991492878,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.07071913815284156
A,BA,0.4,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.04776016208996778,0.025563850640399392,0.0713284969574805,3.0,0.009765625,0.0078125,0.8909090909090909,1,10000,True,0.029296875,0.0234375,+*,+*,True,,0.009765625,0.029296875,0.04776016208996778
A,BA,0.5,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.039108973580923724,0.019079910218575857,0.05959186644358175,4.0,0.013671875,0.01171875,0.8545454545454545,1,10000,True,0.029296875,0.0234375,+*,+*,True,,0.013671875,0.029296875,0.039108973580923724
A,MacroF1,0.0,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.1307876403223595,0.11297614546472604,0.1491958553604172,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.1307876403223595
A,MacroF1,0.1,SCE,ELR,"0,1,2,3,4,5,6,7,8,9",True,10,0.16488734927621418,0.15391404067870035,0.1760830084020978,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.16488734927621418
A,MacroF1,0.2,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.13135337660001137,0.12131482878918572,0.14030032889604216,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.13135337660001137
A,MacroF1,0.3,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.10026489121136492,0.0879819751683825,0.11308594645143609,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.10026489121136492
A,MacroF1,0.4,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.04388545606992615,0.034833200616727664,0.052678748228718104,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.04388545606992615
