protocol,method,tau,metric,first_epoch,first_value,peak_epoch,peak_value,final_epoch,final_value
A,AsyCo,0.1,nta,0,0.028613130918562702,120,0.13374170614230668,149,0.12646081465392997
A,AsyCo,0.1,lnmr,0,0.08926424312451449,120,0.2252039367912248,149,0.2094409052548447
A,AsyCo,0.2,nta,0,0.02561753048789834,120,0.1173441277392464,149,0.1112992862695508
A,AsyCo,0.2,lnmr,0,0.09538730948016341,120,0.23698162975327314,149,0.22155914216036812
A,AsyCo,0.3,nta,0,0.026748692216179305,120,0.0972566714905578,149,0.08985080930382745
A,AsyCo,0.3,lnmr,0,0.08675878269397565,120,0.22448550368386466,149,0.19927868892792003
A,AsyCo,0.4,nta,0,0.03858712969748773,149,0.0849067808841374,149,0.0849067808841374
A,AsyCo,0.4,lnmr,0,0.09003650018018627,149,0.21340315282723193,149,0.21340315282723193
A,AsyCo,0.5,nta,0,0.02766415252897899,30,0.0814435055743369,149,0.0751218643630814
A,AsyCo,0.5,lnmr,0,0.10041501742037477,120,0.2088867173351272,149,0.20139589371172645
A,ELR,0.1,nta,0,0.02499691818782843,149,0.10680065525864343,149,0.10680065525864343
A,ELR,0.1,lnmr,0,0.08111613903638737,149,0.4069655236831191,149,0.4069655236831191
A,ELR,0.2,nta,0,0.027622576337677052,120,0.10180016669146708,149,0.1004738129022694
A,ELR,0.2,lnmr,0,0.088432560783176,149,0.3671795951049456,149,0.3671795951049456
A,ELR,0.3,nta,0,0.034117083518368826,149,0.08542630199392559,149,0.08542630199392559
A,ELR,0.3,lnmr,0,0.09547449716755843,149,0.32757551825755665,149,0.32757551825755665
A,ELR,0.4,nta,0,0.03302715662140769,149,0.07775304185096679,149,0.07775304185096679
A,ELR,0.4,lnmr,0,0.0940505576955588,149,0.2938767533342954,149,0.2938767533342954
A,ELR,0.5,nta,0,0.03319568708680755,149,0.0697308958949776,149,0.0697308958949776
A,ELR,0.5,lnmr,0,0.08918117333869138,149,0.26251387969546786,149,0.26251387969546786
A,SCE,0.1,nta,0,0.061165397998667395,149,0.405184820348296,149,0.405184820348296
A,SCE,0.1,lnmr,0,0.16754944057264445,149,0.38417257361841023,149,0.38417257361841023
A,SCE,0.2,nta,0,0.0604720233326266,120,0.32750049453949404,149,0.3225831870960119
A,SCE,0.2,lnmr,0,0.1834728668036964,149,0.38674111382143456,149,0.38674111382143456
A,SCE,0.3,nta,0,0.06752491302472916,149,0.23922900152074794,149,0.23922900152074794
A,SCE,0.3,lnmr,0,0.16184749322783015,149,0.39717019587444663,149,0.39717019587444663
A,SCE,0.4,nta,0,0.050741642668658535,90,0.12949483959320232,149,0.12449315521482365
A,SCE,0.4,lnmr,0,0.13345911180527228,149,0.4254324954099794,149,0.4254324954099794
A,SCE,0.5,nta,0,0.05823823885180189,149,0.10621083233983335,149,0.10621083233983335
