trial,state,value,duration_s,param_alpha,param_beta,param_A
0,COMPLETE,0.6848491534895998,1909.459616,0.13292918943162169,1.9063571821788408,-3.6080363491315692
1,COMPLETE,0.6849802831387223,1844.851656,0.6251373574521749,0.39643541684062933,-7.064032877982784
2,COMPLETE,0.6333100579588262,1860.17503,0.014936568554617643,1.745734676972377,-4.393309929540747
3,COMPLETE,0.6498760258132592,1854.613894,1.3311216080736887,0.13911053916202465,-2.180540887028034
4,COMPLETE,0.6033986344881299,1838.89111,3.142880890840109,0.5034443102887247,-6.909050196757397
5,COMPLETE,0.7075354737255879,1849.805174,0.03549878832196503,0.6780602616231216,-4.851461410206573
6,COMPLETE,0.686346992214169,1845.690791,0.19762189340280073,0.6533353663762795,-4.328882631665723
7,COMPLETE,0.696578665142701,1845.274002,0.02621087878265441,0.6550748322169144,-5.80182894023785
8,COMPLETE,0.676712286613926,1847.974643,0.23345864076016243,1.5918343266467259,-6.801957307049841
9,COMPLETE,0.6810822628412211,1848.871944,0.34890188454913873,1.2255876808378807,-7.721297523680014
10,COMPLETE,0.6850351220704084,1850.807375,0.6647135865318028,0.4239958350058539,-7.609690442088323
11,COMPLETE,0.41422773352824027,426.57152,7.025166339242156,1.9347008628416629,-3.1496159113012334
12,COMPLETE,0.7127787242863264,1847.300754,0.08200518402245831,0.2855770166121293,-3.8946018409270584
13,COMPLETE,0.6867878566208077,1862.412496,0.2091498132903561,0.3318726462050797,-5.028938539332379
14,COMPLETE,0.4483430094973041,428.967668,0.012681352169084602,1.8277087639496858,-6.4473201103998985
15,COMPLETE,0.6975200590275079,1851.957395,0.012084422824675513,0.5636348100205256,-2.5370244345466415
16,COMPLETE,0.6988605722292747,1849.015179,0.40089929399533203,1.1507177434891254,-2.182777335272806
17,COMPLETE,0.7108379031293396,1855.454236,0.027674527290792336,0.9872491551231004,-4.159468985194662
18,COMPLETE,0.7099440778967164,1854.808411,0.013861770036980404,0.11517113311549884,-4.8910272627150615
19,COMPLETE,0.5311936395896361,431.329388,0.013352762403611374,1.0911984057254585,-4.47112867705977
20,COMPLETE,0.4322813418408174,427.737999,7.915372207249046,0.8855720877247153,-3.0913696893814837
21,COMPLETE,0.6953646577746995,1855.833608,0.012060950015249535,0.1720938153487726,-5.782011020979089
22,COMPLETE,0.6921393299906164,1852.384673,0.02656761389656214,0.11648274690420246,-3.770495720125968
23,COMPLETE,0.6997417234639869,1854.489912,0.11942744437317329,0.4559889441779072,-2.7952936868334914
24,COMPLETE,0.6976543134989512,1863.255194,0.09705208940287004,1.1360552310834962,-3.715545512796567
25,COMPLETE,0.681591228847077,1848.537753,0.028269191754138282,0.15935309143873552,-4.909239021968821
26,COMPLETE,0.6461691624098055,629.795132,0.019699149828331354,1.3800945964213558,-2.118287746396128
27,COMPLETE,0.7089284860901941,1869.468317,0.010476773950533504,0.3027382846468528,-4.058497307582752
28,COMPLETE,0.5863421381426075,441.8055,0.7834071312379802,1.7430973279137105,-5.112269042203865
29,COMPLETE,0.3418711788619861,441.891704,6.2586125073903265,1.3677666599094067,-7.529225690199317
30,COMPLETE,0.7073898567367494,1868.60317,0.0314262547670395,0.4335804335984206,-7.661793790337902
31,COMPLETE,0.6996580563236989,1854.964042,0.012259616592459771,0.4334161400692509,-4.790058445228509
32,COMPLETE,0.7027246037922794,1860.241513,0.012236169806147014,0.1813309325331788,-3.252079053676036
33,COMPLETE,0.7142175050159381,1875.77135,0.011378519617854008,0.3818554646742299,-4.0998057696678085
34,COMPLETE,0.7341368164105859,1852.508362,0.03321276200119427,0.6603293111210413,-3.7847277908987005
35,COMPLETE,0.6632904696167667,847.642578,0.07218202762781463,0.7589736538200331,-3.7556520035008614
36,COMPLETE,0.6485469298080979,596.840314,0.12168655152256865,1.0965995362658483,-5.561034074215084
37,COMPLETE,0.6842174164849979,1864.400221,0.12641040097313344,0.2590442747623799,-3.399884836128909
38,COMPLETE,0.6974985323798023,1867.977871,0.026202424100874474,0.6545730663415785,-3.418243716616109
39,COMPLETE,0.6916194838633956,1842.631126,0.03397863526623528,0.7391133744574795,-4.155645100786092
40,COMPLETE,0.644249834612151,575.39707,0.049314478891820966,1.058791372715532,-4.045905954128273
41,COMPLETE,0.6575318371601078,660.055036,0.048548151865673954,0.3530878960054975,-4.2784068826318045
42,COMPLETE,0.7059898699291651,1946.568171,0.01082267855573329,0.15194400448488435,-4.385327042165564
43,COMPLETE,0.626322422252262,446.734082,0.021925787847508704,0.7441783718852276,-4.235433874411623
44,COMPLETE,0.6978573280354212,1944.129219,0.014490083803242798,0.740041617487228,-3.8656897693444
45,COMPLETE,0.6932321455812946,1953.203845,0.08723572600649887,0.20007304178189494,-4.777057588131676
46,COMPLETE,0.40817795345829816,443.850411,8.635326096370811,0.2859432127328291,-5.849658291256749
47,COMPLETE,0.5103526379154765,442.752746,3.108258107760437,0.9178589575168604,-5.37802797152892
48,COMPLETE,0.7019100458169888,1942.96198,0.03487457943542359,0.4751897062129898,-4.468404084967111
49,COMPLETE,0.6060479157079574,441.14915,0.01105504271278752,0.6010981293521306,-5.485342346933926
50,COMPLETE,0.6040004873278487,399.319748,0.9521388236203722,0.4263525252876713,-3.534954199565571
51,COMPLETE,0.5215499217891818,376.168423,0.02862920675878274,1.4001887737756376,-7.954716084102242
52,COMPLETE,0.7002282286927738,1642.394066,0.012290080280716797,0.4232246382035801,-3.7722671418546545
53,COMPLETE,0.6939727160708749,1658.051437,0.01675022462048605,0.11191520882884384,-4.452314884479664
54,COMPLETE,0.6344937730124194,375.686,0.133827424988175,1.7368939534389956,-3.532034603295587
55,COMPLETE,0.7111959621900198,1666.210984,0.010866855873231829,0.47764312924235885,-3.67416233502232
56,COMPLETE,0.6927243461297181,1657.877759,0.044976114800295786,0.4482721703441792,-2.909598828600873
57,COMPLETE,0.6164826484109838,375.849011,0.028471139285555405,1.032210380314116,-3.188689579973203
58,COMPLETE,0.660140131594067,561.941626,0.017967998675162144,0.6294288473859962,-3.46376014219404
59,COMPLETE,0.6877112861486652,1660.992245,0.030229816207035205,0.10706531521053322,-6.083089099729629
60,COMPLETE,0.5591821848282205,377.298244,0.022131457262928582,1.0741680179909332,-5.182254567840188
61,COMPLETE,0.6299539523091504,377.0519,0.011662648676010929,0.49863841361795946,-4.643311563816543
62,COMPLETE,0.6970034248913108,1651.041445,0.010325672969946277,0.3791137027547612,-3.477972064629975
63,COMPLETE,0.6937337575483191,1654.437525,0.05032768482326572,0.3898251964132879,-3.597002237926985
64,COMPLETE,0.7206932934613178,1656.859921,0.010510710322613376,0.10345390825786147,-4.396388138264787
65,COMPLETE,0.716587541763434,1655.640925,0.017312401523260947,0.10728048743387214,-4.32376379944174
66,COMPLETE,0.6993919632424962,1655.178661,0.011142094773587605,0.1219122524604899,-3.4179156029630766
67,COMPLETE,0.5336394863789732,375.924716,0.025718896945036044,1.6006919985182337,-4.4435259301482235
68,COMPLETE,0.6880873116666265,1655.016286,0.021291009886930504,0.10762687935577951,-4.812941664539585
69,COMPLETE,0.6962571888266055,1655.686326,0.035204855922517236,0.23880680618639938,-3.8519269156005382
70,COMPLETE,0.6498413339013673,385.828427,0.1822172447448268,0.5099804712803873,-4.50145784569243
71,COMPLETE,0.695172143173265,1656.616682,0.0312238201885587,0.17500052979841305,-4.982595607878099
