dataset,init,optim,method,tau,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_auc_mean,macro_auc_std,nta_mean,nta_std,lnmr_mean,lnmr_std,empirical_flip_rate_mean,empirical_flip_rate_std,per_class_f1_akiec_mean,per_class_f1_akiec_std,per_class_f1_bcc_mean,per_class_f1_bcc_std,per_class_f1_bkl_mean,per_class_f1_bkl_std,per_class_f1_df_mean,per_class_f1_df_std,per_class_f1_mel_mean,per_class_f1_mel_std,per_class_f1_nv_mean,per_class_f1_nv_std,per_class_f1_vasc_mean,per_class_f1_vasc_std,n_folds
imbalanced,pretrained,adam,asyco_divmix,0.0,0.6593444404171898,0.05523533403175724,0.4349320817240915,0.029160122032260725,0.6708394010041332,0.01839250893018395,0.9153661837100918,0.026641821527516436,,,,,0.0,0.0,0.4526324897360432,0.07807995085133743,0.6290278892493536,0.051703061304486216,0.4278118296537296,0.05856335661882066,0.12864227240891787,0.019951893680271237,0.3759441443534731,0.04419151252545256,0.7633580868566133,0.018874469601551428,0.2671078598105097,0.10349042578048112,10
imbalanced,pretrained,adam,asyco_divmix,0.1,0.5865625090469085,0.054049599096697716,0.28733950951309783,0.022340372895704293,0.2967488334527365,0.06483523668659241,0.8608160050511323,0.03229030992824645,0.2320873904307253,0.0460810805343,0.3115936893822672,0.025900587563281313,0.12763647181317864,0.00294283418166978,0.3505739576973153,0.06058196352647856,0.5396362158602613,0.0634512791558578,0.3672671842949867,0.059602422615301805,0.08395773289628362,0.0173788350828102,0.3153703010282189,0.031082585622036044,0.2749436710262729,0.09060059865479003,0.07962750378834618,0.04866873989354866,10
imbalanced,pretrained,adam,asyco_divmix,0.2,0.5629813570692693,0.04965365864063059,0.2579827069428784,0.023036531785137954,0.2499605519409407,0.052442213890995744,0.853168989522311,0.024601503108557316,0.2089294546217685,0.03023314194201321,0.32211014915986913,0.029337606625170546,0.20504239178937972,0.0032717851844510596,0.3308068240497197,0.03716263092608072,0.49471096724872743,0.051197235154932186,0.32931092072001095,0.06514507829976349,0.07776811337242523,0.017775205250214646,0.26662025441407183,0.041124861220691394,0.2245206472852656,0.0676768491311679,0.08214122150992784,0.03154584197577575,10
imbalanced,pretrained,adam,asyco_divmix,0.3,0.5392014432926644,0.02607342209824643,0.2252607079770204,0.017314388868241375,0.19803958580160363,0.047750548817488414,0.8484096635680165,0.013599629071915713,0.1763942655085838,0.03180479437912029,0.2977076852915427,0.02913565300102395,0.2996281421984233,0.004213046599640937,0.3015106531110787,0.04530173562546988,0.4705350962707975,0.08393007048245615,0.2548697197501728,0.04974055749439003,0.07753496144313224,0.008720421529472711,0.2334515540195446,0.05085172894728729,0.16940749620562742,0.06454276427502624,0.06951547503878958,0.01275743664180291,10
imbalanced,pretrained,adam,asyco_divmix,0.4,0.5330609075868332,0.032803200017669766,0.20789323714467275,0.031163363931316305,0.16035531700726108,0.05353809383433403,0.8396838860475265,0.018774923089657523,0.1591534714988539,0.028961607062258813,0.31976629720170474,0.023182179898232697,0.3981407109921166,0.005996252371423116,0.28788166529607556,0.04924916545542273,0.44827006338350284,0.05856996708051879,0.23015200039715406,0.07117859258607015,0.07425568183878423,0.015198268162336204,0.2132443285111977,0.04857560677725129,0.12481762704448449,0.0631690378983959,0.07663129354151062,0.009496295553531191,10
imbalanced,pretrained,adam,asyco_divmix,0.5,0.5115882537145033,0.03478253298312217,0.19198584090195445,0.024285931243277804,0.151475371279319,0.041881826321994595,0.8248361489283262,0.017489891555175975,0.15048652862598003,0.023964088324366695,0.29995155804616,0.03108011498865928,0.4985869403540086,0.005316974215262829,0.27285087131509644,0.027456211558065862,0.4213867037541318,0.06767121634105605,0.17803812574193523,0.06978793962502956,0.06897480702065759,0.012165085185177756,0.20633250066078407,0.05711214160939785,0.12270246474763997,0.05362670862740331,0.07361541307343603,0.010984445839252666,10
imbalanced,pretrained,adam,baseline,0.0,0.7494312960234172,0.028638780817842012,0.5677432279400749,0.035592127069751775,0.6987390588689453,0.016817117052392402,0.9450886730450201,0.007297746463440567,,,,,0.0,0.0,0.49617829465981095,0.05427746593341398,0.6560582791349014,0.04593315079215275,0.5764385864704814,0.035566973609920255,0.38711875371612103,0.1105186908939603,0.3913527787259426,0.030489119926688645,0.7653964512138153,0.016826813786343636,0.7016594516594516,0.11068708406019603,10
imbalanced,pretrained,adam,baseline,0.1,0.609436589671853,0.03144920742197058,0.2552552645507892,0.0180917009147558,0.11111806436095359,0.01375539196830514,0.8759734086972417,0.011464852499006006,0.11942386904412483,0.009176449440683325,0.6930969105237257,0.03218217352413833,0.12763647181317864,0.00294283418166978,0.32583964604789345,0.031604405286929635,0.4639323830522633,0.06608405529648954,0.39502443191411263,0.03570935089535315,0.15231303096131316,0.02737487778325459,0.21557014027894153,0.022078542934674653,0.02832552933024949,0.01681331717979839,0.20578169027075063,0.04757997186743148,10
imbalanced,pretrained,adam,baseline,0.2,0.6023901739509616,0.03738752033873899,0.2372219341531466,0.01808640844569648,0.09530557583864523,0.012534693079577568,0.862605250607146,0.014225199204887821,0.11605336431217209,0.00852754050641762,0.6625335167439205,0.025899864091319568,0.20504239178937972,0.0032717851844510596,0.3312707899956969,0.040163737211864614,0.4120227876263156,0.03898821387094791,0.3605553414373901,0.04687875755450883,0.13941099641764051,0.033156008856898324,0.21099744152515448,0.01776516067761681,0.015004666516976082,0.01167390139212,0.19129151555285268,0.04927716456114302,10
imbalanced,pretrained,adam,baseline,0.3,0.5429261387642884,0.04216714160721299,0.2057451663043616,0.013605235800833415,0.08409791322901143,0.007229003125769531,0.8330279580414658,0.022953361629913283,0.1092809262051313,0.004453694446879898,0.6198144231055633,0.01228985558803524,0.2996281421984233,0.004213046599640937,0.2765447259619035,0.0383809843620983,0.3711378471211624,0.04654126065949656,0.3263199281152271,0.036172899003041506,0.12311692823212657,0.04495779315633463,0.1857682999802892,0.02226783977159013,0.012837503226732012,0.008979344492623524,0.14449093149309028,0.030184559703207502,10
