trial,state,value,duration_s,param_alpha,param_beta,param_A
0,COMPLETE,0.5787449830268514,1914.72738,0.13292918943162169,1.9063571821788408,-3.6080363491315692
1,COMPLETE,0.5961067109127172,1853.540778,0.6251373574521749,0.39643541684062933,-7.064032877982784
2,COMPLETE,0.5406723571005443,1855.367746,0.014936568554617643,1.745734676972377,-4.393309929540747
3,COMPLETE,0.5627596936179671,1863.291723,1.3311216080736887,0.13911053916202465,-2.180540887028034
4,COMPLETE,0.5711526721094614,1857.795993,3.142880890840109,0.5034443102887247,-6.909050196757397
5,COMPLETE,0.5958491838037545,1854.991872,0.03549878832196503,0.6780602616231216,-4.851461410206573
6,COMPLETE,0.6372908202069667,1868.110845,0.19762189340280073,0.6533353663762795,-4.328882631665723
7,COMPLETE,0.581270860947825,1860.323572,0.02621087878265441,0.6550748322169144,-5.80182894023785
8,COMPLETE,0.6188643759866921,1855.429955,0.23345864076016243,1.5918343266467259,-6.801957307049841
9,COMPLETE,0.619220313557949,1849.847237,0.34890188454913873,1.2255876808378807,-7.721297523680014
10,COMPLETE,0.47632155474416005,418.64346,0.6647135865318028,0.4239958350058539,-7.609690442088323
11,COMPLETE,0.4319586553345287,421.047376,7.025166339242156,1.9347008628416629,-3.1496159113012334
12,COMPLETE,0.6532903085662667,1851.662711,0.08200518402245831,0.2855770166121293,-3.8946018409270584
13,COMPLETE,0.6249901437877383,1846.621599,0.2091498132903561,0.3318726462050797,-5.028938539332379
14,COMPLETE,0.4139935153358005,421.232285,0.012681352169084602,1.8277087639496858,-6.4473201103998985
15,COMPLETE,0.6134454558982526,1859.955522,0.01844208337075796,0.5474352463807135,-2.3388910996721917
16,COMPLETE,0.4748943601289465,425.186333,0.40089929399533203,1.1507177434891254,-2.182777335272806
17,COMPLETE,0.4936584254597854,436.18761,1.8769840793977848,0.9319219533146965,-4.953621178213803
18,COMPLETE,0.6464065950984719,1869.37411,0.171906342087609,0.6739582204061468,-3.265666929221813
19,COMPLETE,0.6255206219072136,1852.764302,0.01755337790004285,0.14634361108838476,-4.73150250533374
20,COMPLETE,0.5201241886269485,599.112998,0.15838308480407323,0.5803228143359671,-2.9870369538744685
21,COMPLETE,0.6265245444109496,1865.772366,0.3807825629955827,1.1493195998657306,-4.4118873391078655
22,COMPLETE,0.5302294056944469,617.551067,0.05297889646740561,1.1740805942108465,-3.27612197298413
23,COMPLETE,0.5013322186305406,437.579347,0.07037688026266688,0.14713796457127107,-2.9228341590690627
24,COMPLETE,0.48210612218274207,421.682493,0.813065363918554,0.427522378218421,-4.073386481363574
25,COMPLETE,0.6112743241636508,1748.364405,0.11447519050655529,0.6895864393677338,-3.72376150169073
26,COMPLETE,0.4001048580614244,424.147214,9.625145714248156,0.8172391422324838,-3.3295796409885066
27,COMPLETE,0.6221174077052865,1855.361793,0.3042330525217545,0.97480501233592,-5.378969515652264
