method,tau,epoch,nta,nta_lo,nta_hi,lnmr,lnmr_lo,lnmr_hi,n
asyco_divmix,0.1,0,0.06012641876791362,0.05110893253856065,0.06961985527960442,0.1462194841379041,0.11924255595126268,0.17628067159733293,10
asyco_divmix,0.1,30,0.15615043461361566,0.14251947615016267,0.17037434977468147,0.33814434364127016,0.3120121429289676,0.36543825859907125,10
asyco_divmix,0.1,60,0.21704834651607485,0.19805406360360028,0.2378786777574916,0.3251484183041952,0.30807162679248246,0.34474153758283455,10
asyco_divmix,0.1,90,0.2420179051681992,0.213723295745115,0.26979913919259846,0.31905007376125727,0.30217653561148017,0.3354050834326734,10
asyco_divmix,0.1,120,0.25120932349020614,0.22813756321832282,0.2683355675284652,0.3343505386399643,0.30985898100012893,0.3613613670188742,10
asyco_divmix,0.1,149,0.2320873904307253,0.20385882424393828,0.257030465804686,0.3115936893822672,0.29593657277906954,0.32620371413955224,10
asyco_divmix,0.2,0,0.05206641867663575,0.04571913335482306,0.059799330001454536,0.12415906908605649,0.11193115358596548,0.13709607512601593,10
asyco_divmix,0.2,30,0.14200962067650158,0.13041838374816198,0.15618525911566444,0.3069998057267975,0.28563590459277327,0.32850237658508397,10
asyco_divmix,0.2,60,0.17984296045782497,0.16736234601903466,0.19239823285959157,0.308885096977806,0.29661455768178285,0.31885088939856626,10
asyco_divmix,0.2,90,0.19683172430516985,0.18067449961483825,0.2141686660196605,0.3235638536391579,0.3032660902078191,0.34401036799584966,10
asyco_divmix,0.2,120,0.21768076009687548,0.19982863094444378,0.2376918800287036,0.33129465223254473,0.3193079951028283,0.3430520072836348,10
asyco_divmix,0.2,149,0.2089294546217685,0.19222143298752065,0.22778303491847568,0.32211014915986913,0.3045539462295142,0.3390513205316294,10
asyco_divmix,0.3,0,0.06156735110042353,0.05506621708551779,0.06889922507781103,0.135184222471139,0.12182220178121597,0.1482420645553359,10
asyco_divmix,0.3,30,0.1291025844272758,0.11727756583013337,0.1421273973258402,0.31189134496110815,0.2931004972192084,0.32843133380720296,10
asyco_divmix,0.3,60,0.16244094925230673,0.14093733249335944,0.18546852147632195,0.31503963902861154,0.30215884311768804,0.3303949126532628,10
asyco_divmix,0.3,90,0.17731968499168677,0.1598811588410407,0.19721056929261507,0.3158071595798918,0.2994200320931779,0.3342675543086755,10
asyco_divmix,0.3,120,0.190954955003369,0.1695374673681983,0.21381430304637936,0.31744261394844253,0.29556840588769084,0.3398676238458465,10
asyco_divmix,0.3,149,0.1763942655085838,0.1581077866827441,0.1956187558603025,0.2977076852915427,0.2824413549332404,0.31668505216019965,10
asyco_divmix,0.4,0,0.05452627803615436,0.046184844608780334,0.06224110748097776,0.1247805607926095,0.116282006063242,0.13285284089531285,10
asyco_divmix,0.4,30,0.12949795327113284,0.11838142042182724,0.14158312235972578,0.29116305473640497,0.2727057024849602,0.3134088200931605,10
asyco_divmix,0.4,60,0.14279439084859982,0.12973740433657907,0.15523938335403886,0.3006679409124392,0.28216711923046545,0.3193579111130939,10
asyco_divmix,0.4,90,0.15553568405621088,0.14093508040390781,0.17053043577112986,0.32044905206428353,0.3084053120920875,0.33137412470156,10
asyco_divmix,0.4,120,0.15813853199072975,0.13535681058172097,0.18256913799879013,0.30760825573840656,0.29406376407043877,0.32116424624844286,10
asyco_divmix,0.4,149,0.1591534714988539,0.1432816429377951,0.176885541515401,0.31976629720170474,0.30528704542075497,0.3327683728064789,10
asyco_divmix,0.5,0,0.05294023501886327,0.045976287370867126,0.060496942555631567,0.12510847331054564,0.1156169151591647,0.1387663202484968,10
asyco_divmix,0.5,30,0.11423743692344837,0.10501552117654207,0.12454066587259938,0.2884013742952257,0.27157901061930506,0.3018713000496866,10
asyco_divmix,0.5,60,0.14044967601593877,0.12519477677305657,0.15613428607050003,0.2977707211391699,0.288270328040155,0.3073455848144619,10
asyco_divmix,0.5,90,0.1450477147610672,0.12869108030595072,0.16217546960350163,0.28836731915894714,0.27110261280443965,0.3041695055276142,10
asyco_divmix,0.5,120,0.1611610642335028,0.1456461410690905,0.18328470359081928,0.3155047367546251,0.2973624037709355,0.33105383944943345,10
asyco_divmix,0.5,149,0.15048652862598,0.13743816096379563,0.16530076060149715,0.29995155804616,0.28049570613280306,0.3157947833220801,10
baseline,0.1,0,0.05664909983391422,0.044831053259788325,0.06895050216045435,0.13994406786742303,0.11293770459295398,0.1676934964110137,10
baseline,0.1,30,0.11289187758039791,0.09897351639161547,0.12643798805262124,0.3429329723660927,0.29579488490570904,0.3906496953012715,10
baseline,0.1,60,0.11544344166991187,0.10845769919414537,0.12292748121874396,0.428354930414842,0.40610926100836797,0.44949050736591545,10
baseline,0.1,90,0.12123209325127612,0.11483224773377007,0.12764656471136973,0.5664886537959404,0.5464282832034473,0.5884429688875671,10
baseline,0.1,120,0.12149245575565129,0.11594508347180044,0.12692143941476944,0.662209368358355,0.6470230903292724,0.6780296835301265,10
baseline,0.1,149,0.11942386904412483,0.11388417386906152,0.12467181865001531,0.6930969105237256,0.673894212702592,0.7112230432949621,10
baseline,0.2,0,0.061273589157391006,0.04860957783121976,0.07604274714443367,0.1418099276215355,0.11715621016075516,0.18087250668288063,10
baseline,0.2,30,0.10494223773353643,0.09467685151761297,0.116375370181194,0.32645773210685747,0.289083925833405,0.36251755493237064,10
baseline,0.2,60,0.11207300597271777,0.10559665529549035,0.11917818125836355,0.416235615100213,0.380396286452852,0.4538389200374368,10
baseline,0.2,90,0.11038984307618734,0.1063505954060817,0.11436739556242204,0.5297320490707069,0.5134887358884772,0.5447122615714669,10
baseline,0.2,120,0.11560652357105275,0.11124497365547803,0.11964110887474705,0.638479520283793,0.6278539888116795,0.6485039963322408,10
baseline,0.2,149,0.11605336431217209,0.11074951855798748,0.12053858139904695,0.6625335167439205,0.6471839534337688,0.6775327111817531,10
baseline,0.3,0,0.0552679687321319,0.050649787037448914,0.06056522197656721,0.12831916413336067,0.11430348312035,0.14389931035864453,10
baseline,0.3,30,0.08635850789292482,0.07704245541253593,0.09507449160070872,0.27518232674987086,0.25317883050247,0.2970061750657834,10
baseline,0.3,60,0.09924031625851595,0.09349925263623284,0.10510063284146315,0.37114858912461635,0.34757125472094813,0.3976421374423434,10
baseline,0.3,90,0.09737176369390829,0.09295764247332286,0.10174520425395661,0.48277521349051356,0.4616664678686076,0.5086018010506755,10
baseline,0.3,120,0.10633263319775565,0.10414923354194558,0.1085743279704842,0.5875979353911311,0.5713547071599623,0.6066280651878043,10
