trial,state,value,duration_s,param_lambda,param_beta
0,COMPLETE,0.4369853760380195,1894.20053,1.7873564613001214,0.9278214378844623
1,COMPLETE,0.28124778447359094,1832.124647,6.028563143721882,0.7693963178886665
2,COMPLETE,0.5503592805427389,1819.049322,0.8500186494605505,0.5701975341512912
3,COMPLETE,0.5656352494479989,1803.779381,0.609209325111088,0.8897792655987208
4,COMPLETE,0.39160265307952785,1801.549394,3.862689194653676,0.8186326600082204
5,COMPLETE,0.5637104082652442,1805.642308,0.5362604871585998,0.9364594334728974
6,COMPLETE,0.14285714285714324,1850.808767,8.483766803598272,0.5955525998052242
7,COMPLETE,0.5347361498959359,1925.003649,0.9279990423245288,0.5825320294340453
8,COMPLETE,0.4648789686799802,1801.076833,1.4072546358030324,0.7361403942345071
9,COMPLETE,0.44164267524158873,1893.838999,2.1727270548647377,0.6310531130891188
10,COMPLETE,0.2571428571428571,428.262079,4.006368751999268,0.5627722372934189
11,COMPLETE,0.4014818566586932,543.936972,1.3505263874802735,0.6648628294821612
12,COMPLETE,0.3854765832690436,441.778866,2.3585260188125883,0.8533291826268561
13,COMPLETE,0.532287681702087,1805.99416,0.9860805485286999,0.7314054972861253
14,COMPLETE,0.2615384615384615,427.374922,3.7500594752084933,0.520902685723999
15,COMPLETE,0.5532180982803496,1825.83624,0.5299566050063224,0.9422692426138687
16,COMPLETE,0.5896376829227364,1903.493919,0.5826214740963511,0.7784689491123684
17,COMPLETE,0.5581677979214404,1813.445223,0.6086584337351356,0.8129034697249096
18,COMPLETE,0.4280512910156702,692.102195,1.0238715739304858,0.8509276302493699
19,COMPLETE,0.5791524443575966,1792.668777,0.5452750327834885,0.7313280158948162
20,COMPLETE,0.5315021716942766,1638.658282,0.5896990723301879,0.7002677979165864
21,COMPLETE,0.5442798620512249,1763.034079,0.521905252395651,0.7897010417988799
22,COMPLETE,0.5900610842475714,1775.788903,0.5137790507021264,0.743432353948235
23,COMPLETE,0.4403374799649299,683.287629,0.510408999533871,0.6387461919423145
24,COMPLETE,0.587275714007103,1806.384636,0.5233279697284852,0.7196027866915132
25,COMPLETE,0.46213620116409687,847.064042,0.5594528985813176,0.7494644213835062
26,COMPLETE,0.14285714285714296,415.130999,14.827696909541055,0.6809454588986075
27,COMPLETE,0.4135243458445942,488.055895,1.1350373938402198,0.7810368174660485
28,COMPLETE,0.5704707046088885,1832.203531,0.622601371561893,0.693098111447483
29,COMPLETE,0.2087912087912088,411.04902,14.33610214896663,0.8905025092943322
30,COMPLETE,0.41836463187026746,614.661696,1.80540581448744,0.9475110969465335
31,COMPLETE,0.5717506854448573,1851.094608,0.5376191261978206,0.7479660672300563
32,COMPLETE,0.47032378006124276,835.192622,0.5039499874263514,0.7467319857906546
33,COMPLETE,0.5526070316420914,1803.072652,0.5523630915714942,0.7126458745569382
34,COMPLETE,0.4341852674479568,709.066453,0.7695989364915559,0.7956466782371496
35,COMPLETE,0.4079743536680967,429.74186,0.8449368261558392,0.6972330309448324
36,COMPLETE,0.44198210547592254,691.078304,0.5789387145521148,0.7867893564897988
37,COMPLETE,0.45791354817759355,824.321127,0.5147382130149036,0.6685785624784372
38,COMPLETE,0.4402051953138987,664.78923,0.5261986507147141,0.7583595136025472
39,COMPLETE,0.4057931070095856,428.822141,1.025690795219859,0.772972660131329
40,COMPLETE,0.5118581493856936,1241.080128,0.5555232669140996,0.8488641821179509
41,COMPLETE,0.511623736083709,1208.597141,0.5268752309027097,0.7837832801954558
42,COMPLETE,0.5620400333820698,1789.694,0.5277704895025692,0.7018027485984412
43,COMPLETE,0.5762624923954917,1823.501919,0.5093169855008091,0.7368290817411368
44,COMPLETE,0.41742212315473104,509.045561,1.0334962063853628,0.7205261251681662
45,COMPLETE,0.5551505190321165,1833.63821,0.5371472201509346,0.7393541260716074
46,COMPLETE,0.43540930345145235,653.530841,0.5023097501881901,0.6916544770990642
47,COMPLETE,0.408856386520592,416.815336,0.9572281840589816,0.7333366432985088
48,COMPLETE,0.26813186813186807,409.441829,3.8346254592678366,0.6663479630736515
49,COMPLETE,0.40432547860936874,409.889157,1.04364598148075,0.6424730163970093
50,COMPLETE,0.47530367924389055,952.666767,0.5726985911381374,0.7467919784449402
51,COMPLETE,0.5373316161697076,1612.887252,0.6148396349919684,0.7262112230583802
52,COMPLETE,0.4311459032017112,730.181695,0.560165208372804,0.7753587675591165
53,COMPLETE,0.44847448870046164,783.976729,0.7792479366256521,0.7508109087884043
54,COMPLETE,0.44056535507450434,755.829545,0.5187259968686819,0.7392610498217265
55,COMPLETE,0.3782351655340384,455.09431,4.216510250621405,0.9453646750097473
56,COMPLETE,0.4246178529387201,697.589615,0.5163798448150677,0.79198400899905
57,COMPLETE,0.4457293522249067,742.547832,0.5059771419616947,0.7027943632474157
58,COMPLETE,0.4467526495411832,792.208198,1.0544872377295162,0.8592222677178395
59,COMPLETE,0.1661467564693371,471.382921,5.855771225497329,0.7728705479947544
60,COMPLETE,0.42652361067234495,680.88349,0.6935848931889389,0.5977633362121966
61,COMPLETE,0.4217250452617726,677.966631,0.901036392974173,0.6765937104120298
62,COMPLETE,0.44562828075895455,755.593037,0.5078661067415804,0.6221360801292788
63,COMPLETE,0.41586379791674977,568.37705,0.9331797972076159,0.6881028792145303
64,COMPLETE,0.4120748392687764,475.528013,1.1366401232318053,0.5118656379826134
65,COMPLETE,0.573135809913731,2017.822253,0.5276978273063613,0.6820632120249063
66,COMPLETE,0.5739914713014457,2006.710748,0.5078681935050934,0.655984498718442
67,COMPLETE,0.44728050972956834,756.700512,0.510604854147516,0.5220556435850239
68,COMPLETE,0.5135192719587991,1374.449265,0.6447053633570928,0.6320824460856359
69,COMPLETE,0.45786106950466776,785.871176,0.5015943414152014,0.6269580670758004
70,COMPLETE,0.4337416489456906,732.991203,0.6911092966115501,0.6665299006669183
71,COMPLETE,0.4249194649192276,674.619919,0.5073648164065028,0.7143532708024285
72,COMPLETE,0.41705031399511794,569.231527,0.5115289429258321,0.6900690214062772
73,COMPLETE,0.5136602693134023,1408.736975,0.521275668785257,0.7458474987944623
74,COMPLETE,0.41203707751119245,482.248131,0.9947595762811284,0.7906702170847124
75,COMPLETE,0.5063597451748336,1395.302825,0.5477638961212387,0.8318002573283567
76,COMPLETE,0.42032797361985075,567.687674,0.9282167801629521,0.7454771609845031
77,COMPLETE,0.45788418019316596,786.719218,0.5105045387335182,0.6949597140704336
78,COMPLETE,0.4598231951983237,779.631453,0.5171653489552674,0.7857065703716309
79,COMPLETE,0.14285714285714296,465.132618,9.032328806536942,0.5718252594532692
80,COMPLETE,0.2087912087912088,452.26872,13.089497793766094,0.7965628721640382
81,COMPLETE,0.5778661276222294,2011.437245,0.5021526899832515,0.699870152579671
82,COMPLETE,0.5709512936835892,1988.016658,0.5443717793448746,0.6815021411593142
83,COMPLETE,0.5796396945218731,2054.997388,0.5401992346512291,0.7336708236461726
84,COMPLETE,0.46600416081772733,889.167085,0.5193171057141254,0.653890874753342
85,COMPLETE,0.4126186894793381,460.568888,0.9879274178812676,0.688055172722947
86,COMPLETE,0.4316925490651869,709.185816,0.8328468328897949,0.7644854043051234
87,COMPLETE,0.47518495646504705,915.698347,0.5004663626201836,0.7361607881280531
88,COMPLETE,0.42299682320740856,691.054573,0.7692017077216876,0.6939733345693005
89,COMPLETE,0.504343190380375,1110.648497,0.5112677449426807,0.7272478485212474
90,COMPLETE,0.5885307824150772,1994.639547,0.5130385461070431,0.6826013260692179
91,COMPLETE,0.5825137215156815,1990.059509,0.520914340348231,0.6682622039831683
92,COMPLETE,0.5625768947772969,1988.058386,0.5046136633917604,0.6756372698781579
93,COMPLETE,0.4958733625805337,1072.327039,0.5173379722204633,0.6625815157776821
94,COMPLETE,0.43797919919179196,720.57754,0.847539399136162,0.7442717362148622
95,COMPLETE,0.37963262543907705,450.789573,2.134212941245869,0.7290294623889407
96,COMPLETE,0.41514891249442376,542.562806,0.9375680731095095,0.6344310711280245
97,COMPLETE,0.14285714285714296,455.273751,14.75980155398446,0.507011810741066
98,COMPLETE,0.5204699354517317,1368.875413,0.5214742638564785,0.7457168197846035
