,nv,bkl,mel,bcc,akiec,vasc,df
nv,0.5986619134913156,0.07462715324626144,0.2328511554367969,0.02812268543788534,0.023724830673639348,0.018448440252003172,0.023563822049749727
bkl,0.021193449805040242,0.6518517548271693,0.15512425738075386,0.048763556606042605,0.10202694935152984,0.00230578672309505,0.018734247157848428
mel,0.03694251727746712,0.11983915702909582,0.7097889685371054,0.0457026498934683,0.06489930182269119,0.010785178624207789,0.012042226361868047
bcc,0.001959295605782354,0.02568804212372906,0.028377362360689103,0.8439950620344717,0.07813165660762261,0.00987220012685824,0.011976377500677175
akiec,0.003209642430288306,0.10302874264900505,0.07234313391654132,0.10206509770192683,0.7026333972846036,0.0016526514014517074,0.015067333959375644
vasc,0.003550385577678323,0.01517074085608601,0.007412921991444141,0.037160392843873256,0.009860879387399511,0.9151441742929188,0.011700511807613504
df,0.011406296773200124,0.040439414303954264,0.05992541953441507,0.09375393542147695,0.09103651233894436,0.015354374688888325,0.6880840483836811
