,nv,bkl,mel,bcc,akiec,vasc,df
nv,0.6274292059966685,0.054599296687025727,0.24153248195446975,0.02387562465297057,0.020173977419951878,0.014436424208772903,0.017952989080140664
bkl,0.009628610729023384,0.7070151306740028,0.13204951856946354,0.04126547455295736,0.09628610729023383,0.0,0.013755158184319119
mel,0.016286644951140065,0.08957654723127036,0.7752442996742671,0.043973941368078175,0.057003257328990226,0.008143322475570033,0.009771986970684038
bcc,0.0,0.01529051987767584,0.01529051987767584,0.8807339449541285,0.07033639143730887,0.009174311926605505,0.009174311926605505
akiec,0.0,0.07894736842105263,0.07894736842105263,0.09649122807017543,0.7324561403508771,0.0,0.013157894736842105
vasc,0.0,0.01020408163265306,0.0,0.02040816326530612,0.01020408163265306,0.9489795918367347,0.01020408163265306
df,0.0,0.0273972602739726,0.0547945205479452,0.0958904109589041,0.1095890410958904,0.0136986301369863,0.6986301369863014
