true_class,confidence_mean_p_true,argmax_accuracy,top_confusion_target,abs_mean_p_target,argmax_rate_to_target,renorm_flip_mass_to_target
nv,0.5986619134913156,0.6274292059966685,mel,0.2328511554367969,0.24153248195446975,0.5393418841940486
bkl,0.6518517548271693,0.7070151306740028,mel,0.15512425738075386,0.13204951856946354,0.49400471325896833
mel,0.7097889685371054,0.7752442996742671,bkl,0.11983915702909582,0.08957654723127036,0.4551892763854905
bcc,0.8439950620344717,0.8807339449541285,akiec,0.07813165660762261,0.07033639143730887,0.3402798664332171
akiec,0.7026333972846036,0.7324561403508771,bkl,0.10302874264900505,0.07894736842105263,0.37638692023093767
vasc,0.9151441742929188,0.9489795918367347,bcc,0.037160392843873256,0.02040816326530612,0.22695532260163342
df,0.6880840483836811,0.6986301369863014,bcc,0.09375393542147695,0.0958904109589041,0.17783388144584245
