trial,state,value,duration_s,param_lambda_u,param_K,param_temperature,param_warmup_epochs
0,COMPLETE,0.6015352550007037,3435.857395,9.363502971184062,1,0.29356270912614957,23
1,COMPLETE,0.5317626693536512,3269.837202,15.02787529358022,3,0.38636872540532546,8
2,COMPLETE,0.5580864071579285,3307.435172,7.606056073988443,4,0.4691084864014136,12
3,COMPLETE,0.5856723653526281,3271.597047,11.401749605425898,1,0.7056586389260788,8
4,COMPLETE,0.6141858820195167,3297.279286,1.626289824631988,2,0.7631747698841177,14
5,COMPLETE,0.6157860831452812,3307.639475,3.050955871119471,3,0.4837833070670582,15
6,COMPLETE,0.6130986241825263,3254.966433,13.667756983581992,2,0.6984249841083139,24
7,COMPLETE,0.6174473048421646,3284.182484,2.2123125512979875,4,0.871553131863947,12
8,COMPLETE,0.6001054304309434,3357.872708,7.023362742184519,5,0.8291835769724931,9
9,COMPLETE,0.6280389011510309,3316.831406,0.13805292809005998,1,0.5188492964082044,7
10,COMPLETE,0.5887374070886484,759.406446,21.577585646889837,1,0.7972046337535481,18
11,COMPLETE,0.581378407670005,740.025524,22.180318564408164,4,0.8282253849659207,15
12,COMPLETE,0.5992916642377922,3398.812385,13.068320734549852,5,0.485766985807245,15
13,COMPLETE,0.5327146725221482,738.980041,22.689161848152324,3,0.467313589685326,8
14,COMPLETE,0.5702791608595413,773.247752,23.242441308564327,3,0.9194192488674833,16
15,COMPLETE,0.5994568839453868,3420.212953,4.742314150334026,1,0.25650467519840003,9
16,COMPLETE,0.5380784118032977,774.639489,2.4634732316384267,4,0.6921333005326016,5
17,COMPLETE,0.646503348451185,3386.944289,1.3866141256787952,4,0.9636122286205341,12
18,COMPLETE,0.5432648607932293,746.866715,1.5420729545069722,1,0.5357103033470625,5
19,COMPLETE,0.6285546658274968,3319.569554,3.003291230980274,5,0.6350711656313075,23
20,COMPLETE,0.6218769352105753,3337.742095,2.644692404514098,5,0.7609757395449369,21
21,COMPLETE,0.5871862052121444,794.642144,4.6993155439626655,3,0.9965120935108805,12
22,COMPLETE,0.6311813601710355,3352.929699,2.3821500657372203,5,0.6006974832159203,25
23,COMPLETE,0.6124000621882658,3325.99344,4.325184982754792,5,0.4307594772992699,22
24,COMPLETE,0.6198620862100099,3272.807111,7.197277041885678,4,0.6792937832811992,24
25,COMPLETE,0.625242048568893,3275.202762,1.988795092804284,2,0.6791171425252582,23
26,COMPLETE,0.6355133423873311,3260.04187,1.3994380286955888,4,0.9613107593919729,18
27,COMPLETE,0.5705423729187912,717.674915,2.9502817396069903,4,0.9550058084435433,21
28,COMPLETE,0.5636205039650889,716.488173,11.11745864715626,5,0.9606798515182081,17
29,COMPLETE,0.640677816370863,3253.805069,1.2514394450116684,1,0.8504682652575161,18
30,COMPLETE,0.613975560113943,3271.083019,2.2081677421268378,1,0.9390370310279602,16
31,COMPLETE,0.6314577641030293,3234.586319,1.795457933936233,1,0.9778993358059703,24
32,COMPLETE,0.6207659731559325,3290.763269,3.795581739461389,1,0.9294468552678609,23
33,RUNNING,,,0.12188509175944007,3,0.9509174743843419,21
34,COMPLETE,0.6389726537007533,3324.427818,1.8929516365248742,2,0.977318381953279,23
35,COMPLETE,0.5960221116652473,761.493725,2.5535954576349704,1,0.6681957782978121,16
36,COMPLETE,0.581748934635451,718.829178,4.445677825506025,3,0.8630069470637414,22
37,COMPLETE,0.6228693598377802,3292.863787,6.402413028785869,2,0.9903722810708002,25
38,COMPLETE,0.652211781716062,3277.959637,0.4335597290116324,2,0.9166745444273531,19
39,COMPLETE,0.6341926163700051,3273.192518,2.0718796457239863,2,0.9802620597340975,17
40,COMPLETE,0.6495786773655539,3247.327462,0.8563571765458917,5,0.9784280814870293,18
41,COMPLETE,0.6441021989188698,3249.815452,1.597376670977468,5,0.9971633233060855,18
42,COMPLETE,0.5826967983460112,710.901893,5.078574447993828,5,0.9821091253031315,17
43,COMPLETE,0.6223816381123755,3245.542222,1.7109877725841771,2,0.9386573576152275,8
44,COMPLETE,0.5665162715236278,711.646315,0.6528368779630904,5,0.8052779827933019,13
45,COMPLETE,0.6702449776624263,3249.633098,0.5184510859963549,5,0.9900698972395731,19
46,COMPLETE,0.6362121071348256,3259.735359,2.1918828187139185,5,0.9676284490303702,22
47,COMPLETE,0.63937004678383,3253.606766,1.4042193619158732,5,0.9405907014255651,18
48,COMPLETE,0.5640113194378804,714.999228,3.539499363764457,4,0.9920621054671911,6
49,COMPLETE,0.6420517721456364,3272.839008,1.2092140657755022,3,0.9558663625850586,18
50,COMPLETE,0.6507073971054596,3292.533424,0.17308737245147277,5,0.9605344080514475,11
51,COMPLETE,0.5648009525069195,724.837398,5.252480807606966,5,0.9767378769425918,10
52,COMPLETE,0.5655762198330466,724.680161,5.30816622902791,4,0.9769532751622675,13
