protocol,method,tau,true_class,pred_class,count,rate
S,baseline,0.1,df,bcc,10.0,0.136986301369863
S,baseline,0.1,df,akiec,6.0,0.0821917808219178
S,baseline,0.1,df,vasc,0.0,0.0
S,baseline,0.1,df,df,53.0,0.726027397260274
S,baseline,0.2,nv,nv,0.0,0.0
S,baseline,0.2,nv,bkl,353.0,0.06533407366277993
S,baseline,0.2,nv,mel,1344.0,0.2487506940588562
S,baseline,0.2,nv,bcc,522.0,0.0966129927817879
S,baseline,0.2,nv,akiec,617.0,0.11419581713862668
S,baseline,0.2,nv,vasc,1537.0,0.2844715898574866
S,baseline,0.2,nv,df,1030.0,0.1906348325004627
S,baseline,0.2,bkl,nv,0.0,0.0
S,baseline,0.2,bkl,bkl,219.0,0.3012379642365887
S,baseline,0.2,bkl,mel,69.0,0.09491059147180192
S,baseline,0.2,bkl,bcc,75.0,0.1031636863823934
S,baseline,0.2,bkl,akiec,255.0,0.35075653370013754
S,baseline,0.2,bkl,vasc,26.0,0.03576341127922971
S,baseline,0.2,bkl,df,83.0,0.11416781292984869
S,baseline,0.2,mel,nv,0.0,0.0
S,baseline,0.2,mel,bkl,76.0,0.1237785016286645
S,baseline,0.2,mel,mel,251.0,0.40879478827361565
S,baseline,0.2,mel,bcc,67.0,0.10912052117263844
S,baseline,0.2,mel,akiec,178.0,0.2899022801302932
S,baseline,0.2,mel,vasc,14.0,0.02280130293159609
S,baseline,0.2,mel,df,28.0,0.04560260586319218
S,baseline,0.2,bcc,nv,0.0,0.0
S,baseline,0.2,bcc,bkl,5.0,0.01529051987767584
S,baseline,0.2,bcc,mel,0.0,0.0
S,baseline,0.2,bcc,bcc,231.0,0.7064220183486238
S,baseline,0.2,bcc,akiec,65.0,0.19877675840978593
S,baseline,0.2,bcc,vasc,8.0,0.024464831804281346
S,baseline,0.2,bcc,df,18.0,0.05504587155963303
S,baseline,0.2,akiec,nv,0.0,0.0
S,baseline,0.2,akiec,bkl,4.0,0.017543859649122806
S,baseline,0.2,akiec,mel,2.0,0.008771929824561403
S,baseline,0.2,akiec,bcc,43.0,0.18859649122807018
S,baseline,0.2,akiec,akiec,169.0,0.7412280701754386
S,baseline,0.2,akiec,vasc,1.0,0.0043859649122807015
S,baseline,0.2,akiec,df,9.0,0.039473684210526314
S,baseline,0.2,vasc,nv,0.0,0.0
S,baseline,0.2,vasc,bkl,0.0,0.0
S,baseline,0.2,vasc,mel,2.0,0.02040816326530612
S,baseline,0.2,vasc,bcc,7.0,0.07142857142857142
S,baseline,0.2,vasc,akiec,2.0,0.02040816326530612
S,baseline,0.2,vasc,vasc,79.0,0.8061224489795918
S,baseline,0.2,vasc,df,8.0,0.08163265306122448
S,baseline,0.2,df,nv,0.0,0.0
S,baseline,0.2,df,bkl,2.0,0.0273972602739726
S,baseline,0.2,df,mel,0.0,0.0
S,baseline,0.2,df,bcc,11.0,0.1506849315068493
S,baseline,0.2,df,akiec,6.0,0.0821917808219178
S,baseline,0.2,df,vasc,3.0,0.0410958904109589
