protocol,diagnostic,method,tau,class_name,value
S,perclass_f1,SCE,0.3,mel,0.27731340661016074
S,perclass_f1,SCE,0.3,bcc,0.4082459604983738
S,perclass_f1,SCE,0.3,akiec,0.2837562032364144
S,perclass_f1,SCE,0.3,vasc,0.1463875534676506
S,perclass_f1,SCE,0.3,df,0.10123329779562174
S,perclass_f1,ELR,0.3,nv,0.0
S,perclass_f1,ELR,0.3,bkl,0.25832970357122365
S,perclass_f1,ELR,0.3,mel,0.2106151256109176
S,perclass_f1,ELR,0.3,bcc,0.37662747342818126
S,perclass_f1,ELR,0.3,akiec,0.2024177141248659
S,perclass_f1,ELR,0.3,vasc,0.07591178962838466
S,perclass_f1,ELR,0.3,df,0.06725241018515277
S,perclass_f1,AsyCo,0.3,nv,0.001473983574781926
S,perclass_f1,AsyCo,0.3,bkl,0.11677911009864161
S,perclass_f1,AsyCo,0.3,mel,0.23819089431186025
S,perclass_f1,AsyCo,0.3,bcc,0.3096689299038601
S,perclass_f1,AsyCo,0.3,akiec,0.2451007370187907
S,perclass_f1,AsyCo,0.3,vasc,0.06252715392666013
S,perclass_f1,AsyCo,0.3,df,0.043315343636502135
S,perclass_f1,baseline,0.4,nv,0.0003696857670979667
S,perclass_f1,baseline,0.4,bkl,0.22516005894841787
S,perclass_f1,baseline,0.4,mel,0.15876181513122148
S,perclass_f1,baseline,0.4,bcc,0.3405269324904436
S,perclass_f1,baseline,0.4,akiec,0.1967859730730235
S,perclass_f1,baseline,0.4,vasc,0.08235487947925635
S,perclass_f1,baseline,0.4,df,0.06597235064712167
S,perclass_f1,SCE,0.4,nv,0.2549369338946907
S,perclass_f1,SCE,0.4,bkl,0.3493180716510907
S,perclass_f1,SCE,0.4,mel,0.21427786505596164
S,perclass_f1,SCE,0.4,bcc,0.3693180933086406
S,perclass_f1,SCE,0.4,akiec,0.2818432830723501
S,perclass_f1,SCE,0.4,vasc,0.13065365558314418
S,perclass_f1,SCE,0.4,df,0.08638061973135273
S,perclass_f1,ELR,0.4,nv,0.0
S,perclass_f1,ELR,0.4,bkl,0.16479926914035042
S,perclass_f1,ELR,0.4,mel,0.1652043857008366
S,perclass_f1,ELR,0.4,bcc,0.3372599195307224
S,perclass_f1,ELR,0.4,akiec,0.19072111768825517
S,perclass_f1,ELR,0.4,vasc,0.07630818672844349
S,perclass_f1,ELR,0.4,df,0.060847808303112226
S,perclass_f1,AsyCo,0.4,nv,0.04440870407798769
S,perclass_f1,AsyCo,0.4,bkl,0.06993201862774819
S,perclass_f1,AsyCo,0.4,mel,0.2130187508517695
S,perclass_f1,AsyCo,0.4,bcc,0.40179398492440266
S,perclass_f1,AsyCo,0.4,akiec,0.23294134360603475
S,perclass_f1,AsyCo,0.4,vasc,0.05552832147379838
S,perclass_f1,AsyCo,0.4,df,0.05415963594321631
S,perclass_f1,baseline,0.5,nv,0.0018470646813677008
S,perclass_f1,baseline,0.5,bkl,0.18396170543061188
S,perclass_f1,baseline,0.5,mel,0.1386575376912469
S,perclass_f1,baseline,0.5,bcc,0.29600329854942925
S,perclass_f1,baseline,0.5,akiec,0.1805595284709879
