protocol,method,tau,fold,nta,lnmr,residual
A,AsyCo,0.5,6,0.0644589000591366,0.2043169722057954,0.7312241277350681
A,AsyCo,0.5,7,0.0930021205695243,0.2005452893062708,0.7064525901242049
A,AsyCo,0.5,8,0.0701911589008363,0.1968339307048984,0.7329749103942653
A,AsyCo,0.5,9,0.0664869721473495,0.2096436058700209,0.7238694219826296
A,ELR,0.0,0,,,
A,ELR,0.0,1,,,
A,ELR,0.0,2,,,
A,ELR,0.0,3,,,
A,ELR,0.0,4,,,
A,ELR,0.0,5,,,
A,ELR,0.0,6,,,
A,ELR,0.0,7,,,
A,ELR,0.0,8,,,
A,ELR,0.0,9,,,
A,ELR,0.1,0,0.1051401869158878,0.3539719626168224,0.5408878504672898
A,ELR,0.1,1,0.102112676056338,0.4084507042253521,0.4894366197183099
A,ELR,0.1,2,0.1153402537485582,0.4555940023068051,0.42906574394463676
A,ELR,0.1,3,0.1204250295159386,0.4297520661157025,0.4498229043683589
A,ELR,0.1,4,0.1121951219512195,0.3939024390243902,0.4939024390243903
A,ELR,0.1,5,0.1033254156769596,0.4441805225653206,0.4524940617577198
A,ELR,0.1,6,0.1043577981651376,0.3715596330275229,0.5240825688073396
A,ELR,0.1,7,0.0943181818181818,0.4238636363636364,0.48181818181818187
A,ELR,0.1,8,0.1081081081081081,0.3986486486486486,0.4932432432432433
A,ELR,0.1,9,0.102683780630105,0.3897316219369895,0.5075845974329055
A,ELR,0.2,0,0.1033740129217516,0.3237616654702082,0.5728643216080402
A,ELR,0.2,1,0.1035971223021582,0.3446043165467626,0.5517985611510792
A,ELR,0.2,2,0.1037463976945245,0.3840057636887608,0.5122478386167146
A,ELR,0.2,3,0.1018450184501845,0.3800738007380074,0.5180811808118082
A,ELR,0.2,4,0.0977611940298507,0.3932835820895522,0.508955223880597
A,ELR,0.2,5,0.1093176815847395,0.3895818048422597,0.5011005135730008
A,ELR,0.2,6,0.1143674052894924,0.355253752680486,0.5303788420300216
A,ELR,0.2,7,0.0889679715302491,0.3622775800711744,0.5487544483985765
A,ELR,0.2,8,0.0876436781609195,0.3757183908045977,0.5366379310344828
A,ELR,0.2,9,0.0941176470588235,0.363235294117647,0.5426470588235295
A,ELR,0.3,0,0.0882785679254536,0.3349681216282491,0.5767533104462972
A,ELR,0.3,1,0.0858806404657933,0.2974284327996118,0.616690926734595
A,ELR,0.3,2,0.091867469879518,0.3473895582329317,0.5607429718875503
A,ELR,0.3,3,0.0812807881773399,0.3211822660098522,0.5975369458128079
A,ELR,0.3,4,0.0840506329113924,0.3316455696202531,0.5843037974683545
A,ELR,0.3,5,0.0788276907529055,0.3304699343102577,0.5907023749368367
A,ELR,0.3,6,0.0862322390984811,0.3032827045565899,0.610485056344929
