protocol,method,tau,n,nta,nta_lo,nta_hi,lnmr,lnmr_lo,lnmr_hi,residual,residual_lo,residual_hi
A,AsyCo,0.0,10,,,,,,,,,
A,AsyCo,0.1,10,0.12646081465392994,0.1065394256680569,0.14802888052717295,0.20944090525484466,0.1976675239049613,0.22026076439795114,0.6640982800912255,0.6377256868857755,0.6920299455072403
A,AsyCo,0.2,10,0.11129928626955073,0.10371036981617028,0.11898848768325164,0.22155914216036807,0.21042792012130604,0.23308493552211548,0.6671415715700812,0.6529938629669423,0.6808498136408293
A,AsyCo,0.3,10,0.08985080930382738,0.08325579498520704,0.09663358189792623,0.19927868892792,0.182294815659563,0.2138714924666055,0.7108705017682526,0.6926139590570795,0.7319943583977777
A,AsyCo,0.4,10,0.08490678088413736,0.07778123102283094,0.09249807163793643,0.21340315282723185,0.20178240948895002,0.22775482687301082,0.7016900662886308,0.6837817771957733,0.7164955372505701
A,AsyCo,0.5,10,0.07512186436308135,0.06951507056576026,0.08106931807538127,0.20139589371172645,0.19522069881438714,0.20822983905738693,0.7234822419251923,0.7149399762566192,0.7324215953920611
A,ELR,0.0,10,,,,,,,,,
A,ELR,0.1,10,0.10680065525864343,0.1026494002199088,0.11131461828549338,0.406965523683119,0.3879451536061725,0.4259163003605435,0.4862338210582375,0.46607754907623394,0.5065901546491944
A,ELR,0.2,10,0.10047381290226935,0.09540985784812521,0.10538051433434296,0.3671795951049456,0.3541727547910697,0.37925593619486436,0.5323465919927851,0.5195974391226017,0.5459497869182518
A,ELR,0.3,10,0.08542630199392556,0.08242829406026114,0.0885353386804999,0.32757551825755665,0.3171217111399548,0.3378173630078243,0.5869981797485178,0.5743089188777671,0.5987794276931815
A,ELR,0.4,10,0.07775304185096676,0.07511607285484223,0.08065124200593712,0.29387675333429536,0.28536644771964526,0.30124575898717587,0.6283702048147379,0.6192004803609253,0.6383347472748868
A,ELR,0.5,10,0.06973089589497755,0.06698775731997991,0.0719102036482964,0.2625138796954678,0.2509747765096143,0.2728191503221895,0.6677552244095546,0.656447047906656,0.6812938911894992
A,SCE,0.0,10,,,,,,,,,
A,SCE,0.1,10,0.405184820348296,0.3892231679966501,0.42176996687190443,0.38417257361841023,0.3759027492019211,0.39463266926145646,0.21064260603329385,0.19186775660158428,0.22976905873515627
A,SCE,0.2,10,0.3225831870960119,0.3045060712281804,0.34009164047123774,0.3867411138214345,0.3772271369716418,0.3978179408681972,0.29067569908255353,0.27306595685126966,0.31043957924865156
A,SCE,0.3,10,0.23922900152074789,0.21464701808663914,0.2633584766160355,0.3971701958744466,0.37878339511194326,0.4183485064805367,0.3636008026048055,0.3447024189080444,0.38322094715428734
A,SCE,0.4,10,0.12449315521482365,0.11931959062908086,0.13117480754659502,0.4254324954099794,0.4125959493897809,0.4382698263855117,0.45007434937519697,0.43818267131262856,0.46136602350815065
A,SCE,0.5,10,0.1062108323398333,0.10188860145657053,0.11126100108294958,0.4084149862268709,0.39716434749359975,0.41786814681247314,0.48537418143329586,0.4730690560033573,0.5005163222558198
A,baseline,0.0,10,,,,,,,,,
A,baseline,0.1,10,0.11073457624851557,0.10525960951069728,0.11670675067470038,0.44365129098917516,0.42565780867056996,0.46043423529575284,0.4456141327623094,0.4273197918023284,0.462249008486013
A,baseline,0.2,10,0.10398905443953914,0.09920720712409963,0.10873642832707349,0.4009832290430692,0.3845709136632588,0.418614215398885,0.4950277165173917,0.47587546227771577,0.5130906151946143
A,baseline,0.3,10,0.08748114035950454,0.08529778962475942,0.08957755407616258,0.35546556720006584,0.34372633073140607,0.366541792772702,0.5570532924404297,0.5457253662164975,0.5692449617703798
A,baseline,0.4,10,0.08292650727702898,0.08081885393034013,0.08522592437192615,0.3183601447137624,0.31119296172116473,0.3264449661667941,0.5987133480092087,0.5888879387655462,0.6068460719004691
A,baseline,0.5,10,0.0757957724777927,0.07209750500541409,0.07901033985257268,0.2901197099053755,0.28230571009126965,0.29787019402304743,0.6340845176168317,0.6243364295649456,0.6442909077975009
AP,AsyCo,0.0,10,,,,,,,,,
AP,AsyCo,0.1,10,0.2320873904307253,0.20308822004292032,0.2570457835483097,0.31159368938226717,0.2958731332232802,0.3262129047831415,0.4563189201870075,0.42723301859204577,0.494725478098805
AP,AsyCo,0.2,10,0.20892945462176846,0.19246825405178303,0.2275897279409642,0.32211014915986913,0.30535401871807694,0.3394909342099349,0.46896039621836244,0.4428005150713938,0.4920399792074892
AP,AsyCo,0.3,10,0.17639426550858378,0.15838059303785199,0.1954880034977558,0.2977076852915426,0.2827334946851678,0.316306923127547,0.5258980491998736,0.5033647109705512,0.5470411711569633
AP,AsyCo,0.4,10,0.15915347149885384,0.14352844411654075,0.17693799329326498,0.3197662972017047,0.3053039980999533,0.3325599040162477,0.5210802312994415,0.5026576765291306,0.5359125195839772
AP,AsyCo,0.5,10,0.15048652862597997,0.13722496078723914,0.16541966801477917,0.29995155804615997,0.2798879093566567,0.315507867773837,0.5495619133278601,0.5286027532861183,0.5759667173500392
AP,ELR,0.0,10,,,,,,,,,
AP,ELR,0.1,10,0.11894925414798493,0.11412418979680672,0.12403549032206798,0.6676709434965928,0.6382947069510314,0.6920915062562167,0.21337980235542225,0.18989078020514266,0.24269329045230767
AP,ELR,0.2,10,0.1196071668698521,0.11580261226269392,0.12325045878991722,0.6470289372013648,0.6326628579913774,0.6605229016225723,0.2333638959287832,0.2186302933806183,0.24861392044807665
AP,ELR,0.3,10,0.10819341402247125,0.10626602841592968,0.11034979582319179,0.5999963898671883,0.5922963713567705,0.6074783712804217,0.2918101961103404,0.2837443253247628,0.30021199021303413
AP,ELR,0.4,10,0.09878316684490027,0.09532642989335637,0.10282534310148761,0.5439300024565747,0.5271202186530116,0.5574578363901127,0.35728683069852496,0.3422219616723343,0.3759617854136353
AP,ELR,0.5,10,0.08700391926393523,0.08457240114294035,0.0891587523311044,0.49911484917447246,0.4821910375205313,0.5169958150247127,0.41388123156159223,0.39475688883071525,0.4319746491591586
AP,SCE,0.0,10,,,,,,,,,
AP,SCE,0.1,10,0.45621243444126336,0.4399321018234288,0.46994170799357843,0.4742463287088811,0.4597859910616303,0.4909143079427971,0.06954123684985557,0.06261287836002807,0.07782075818397785
AP,SCE,0.2,10,0.38714311698924747,0.37237110592558864,0.40273501212600654,0.5021718851633556,0.4888230979583954,0.5158416755254629,0.11068499784739685,0.10195861918446235,0.11938386874714176
AP,SCE,0.3,10,0.32610592076579153,0.31095256324899123,0.34285575431575493,0.5134986825727597,0.4991132543540149,0.5269646067756506,0.1603953966614488,0.15239935160968462,0.1679144206612318
AP,SCE,0.4,10,0.23035273312055046,0.2139192306928809,0.2458203887252113,0.5335460908924062,0.5172536682379832,0.5496452894686076,0.23610117598704322,0.22331916982538788,0.24954933454888206
AP,SCE,0.5,10,0.16718690760362642,0.1537533082978637,0.18145203025260176,0.5499470523692933,0.5343711372005129,0.5665838200744041,0.2828660400270803,0.27541181313806157,0.29045336554009077
AP,baseline,0.0,10,,,,,,,,,
AP,baseline,0.1,10,0.11942386904412479,0.11394915678181533,0.12456194718434638,0.6930969105237256,0.6737505760949929,0.711461756799071,0.1874792204321496,0.16910582588801357,0.20544570467137258
AP,baseline,0.2,10,0.11605336431217203,0.11048034734747723,0.12049859570703657,0.6625335167439205,0.647004216809491,0.6777462212814732,0.22141311894390753,0.20600137353067663,0.23726063036779937
AP,baseline,0.3,10,0.10928092620513126,0.10668969737742116,0.11190949387709824,0.6198144231055635,0.6126371998903941,0.6269239893579368,0.2709046506893054,0.26381906611460937,0.27685363282937414
AP,baseline,0.4,10,0.10240240400842884,0.09961024376007384,0.10525603769368179,0.5703172762678367,0.5577477007220305,0.5818522842308939,0.3272803197237345,0.31458840781751585,0.3413751454993288
AP,baseline,0.5,10,0.10015132236624232,0.09733743243091476,0.10344774444073664,0.5268562850402962,0.5171262571724602,0.5366836495990561,0.37299239259346156,0.36199626754421216,0.38410795344624776
S,AsyCo,0.0,10,,,,,,,,,
S,AsyCo,0.1,10,0.10417683062176572,0.09356677006763787,0.11646373333950476,0.2390873201357227,0.21724907126838736,0.2610712405271474,0.6567358492425116,0.6326112562520608,0.684574021493996
S,AsyCo,0.2,10,0.10307708834876601,0.09379387446075786,0.11100494731508939,0.23981711025839939,0.22460794927696498,0.25423586189177577,0.6571058013928346,0.6376803280143302,0.6794619416910763
S,AsyCo,0.3,10,0.09289647436769674,0.0895406951568088,0.09586143337328731,0.22771056231582842,0.21670910000433036,0.23924361571385136,0.6793929633164748,0.6698065863574785,0.6886394022192965
S,AsyCo,0.4,10,0.10220429289283244,0.08743563861031167,0.12228016022584816,0.2233379218713817,0.2040989279329874,0.24645979282670666,0.6744577852357858,0.6480342560127117,0.6985508690145126
