trial,state,value,duration_s,param_alpha,param_beta,param_A
0,COMPLETE,0.5680757022748921,1794.07245,0.13292918943162169,1.9063571821788408,-3.6080363491315692
1,COMPLETE,0.6423635936084523,1741.196538,0.6251373574521749,0.39643541684062933,-7.064032877982784
2,COMPLETE,0.5370597380407929,1780.099844,0.014936568554617643,1.745734676972377,-4.393309929540747
3,COMPLETE,0.5381084496061845,1822.973505,1.3311216080736887,0.13911053916202465,-2.180540887028034
4,COMPLETE,0.5647603904235865,1806.83814,3.142880890840109,0.5034443102887247,-6.909050196757397
5,COMPLETE,0.5789504557844338,1821.820796,0.03549878832196503,0.6780602616231216,-4.851461410206573
6,COMPLETE,0.6357768827465435,1802.372293,0.19762189340280073,0.6533353663762795,-4.328882631665723
7,COMPLETE,0.5897294259521317,1789.124161,0.02621087878265441,0.6550748322169144,-5.80182894023785
8,COMPLETE,0.6012938409760693,1775.681807,0.23345864076016243,1.5918343266467259,-6.801957307049841
9,COMPLETE,0.626716836651697,1782.995398,0.34890188454913873,1.2255876808378807,-7.721297523680014
10,COMPLETE,0.48272139614302995,562.690617,0.6647135865318028,0.4239958350058539,-7.609690442088323
11,COMPLETE,0.44180506098119954,416.653275,7.025166339242156,1.9347008628416629,-3.1496159113012334
12,COMPLETE,0.6107549009078213,1796.544739,0.08200518402245831,0.2855770166121293,-3.8946018409270584
13,COMPLETE,0.6438759338801049,1805.849945,0.2091498132903561,0.3318726462050797,-5.028938539332379
14,COMPLETE,0.3676030589261776,420.179592,0.012681352169084602,1.8277087639496858,-6.4473201103998985
15,COMPLETE,0.6186666175602682,1871.586973,0.041025532379600674,0.20523790863421762,-7.404442625804771
16,COMPLETE,0.4410900565443427,416.989331,5.965806650215476,1.14381635262141,-5.323287844940298
17,COMPLETE,0.48841593164416286,574.641713,0.35826714091032436,0.5947748307147118,-5.851148506513187
18,COMPLETE,0.456184800708148,440.281027,1.2651062653539742,0.36986517186495327,-4.619042997078862
19,COMPLETE,0.49603228496104423,590.138531,0.017103209819150738,0.33602330968488503,-2.3182287416591034
20,COMPLETE,0.47793174773385266,512.135004,0.9526051795580771,0.9837656976908269,-3.1628980939606888
21,COMPLETE,0.6366246517567362,1769.370657,0.17796010646281157,0.2647695149226206,-5.458349079175406
22,COMPLETE,0.4743478219718515,462.326134,0.17325226423140233,0.28608660331107544,-5.487528446438005
23,COMPLETE,0.4311978995567598,423.515048,0.29200014210953557,0.1108613012607848,-5.010173215576902
24,COMPLETE,0.43945840694518096,417.875121,0.3281123594829344,0.11520302693493636,-6.534212833340884
25,COMPLETE,0.43728191864925814,419.426441,1.8437255884055137,0.3496717378006203,-5.838398246560524
26,COMPLETE,0.5043456325173871,602.765434,0.36747887034581916,0.8000815049650531,-6.8576059020762825
27,COMPLETE,0.6245594315498252,1835.101125,0.580076898725977,1.2476194788854547,-4.788523621172411
28,COMPLETE,0.4583777527702054,428.318865,0.03355665302713797,1.1254328740136703,-6.612932538144948
29,COMPLETE,0.4430521397103238,409.428994,0.021539000194235217,0.10411930877552836,-5.454575569621138
