metric,method,tau,n,delta,delta_ci_lo,delta_ci_hi,W,p_wilcoxon,p_perm,r_rb,direction,n_boot,perm_exact,mean_delta,p_raw,p_wilcoxon_holm,p_perm_holm,sig,sig_perm,concordant,flag,p_holm
MacroF1,ELR,0.3,10,-0.20851907281962867,-0.23945090370196281,-0.18653282283167844,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.20851907281962867,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
MacroF1,ELR,0.4,10,-0.23608138955586572,-0.2708404093885744,-0.20963551730805496,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.23608138955586572,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
MacroF1,ELR,0.5,10,-0.25560587074821234,-0.28673951335147085,-0.23406510924038382,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.25560587074821234,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
MacroF1,AsyCo,0.1,10,-0.1475925722109936,-0.1668436200083222,-0.1257322911421653,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.1475925722109936,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
MacroF1,AsyCo,0.2,10,-0.17694937478121311,-0.1954105051844808,-0.15873561500497216,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.17694937478121311,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
MacroF1,AsyCo,0.3,10,-0.20967137374707107,-0.23221117187940196,-0.18645027456008118,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.20967137374707107,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
MacroF1,AsyCo,0.4,10,-0.22703884457941875,-0.24441741534161754,-0.2054929841136434,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.22703884457941875,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
MacroF1,AsyCo,0.5,10,-0.24294624082213706,-0.26616542399983584,-0.21619532427693564,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.24294624082213706,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
MacroAUC,SCE,0.1,10,-0.051258617888960065,-0.05635740448192037,-0.04685217072865682,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.051258617888960065,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
MacroAUC,SCE,0.2,10,-0.06876264781312987,-0.07669509936319682,-0.06140893130514721,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.06876264781312987,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
MacroAUC,SCE,0.3,10,-0.09400484320670963,-0.10421982744865776,-0.08429961034759482,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.09400484320670963,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
MacroAUC,SCE,0.4,10,-0.12339417942107689,-0.13115084959465884,-0.11574478282676216,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.12339417942107689,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
MacroAUC,SCE,0.5,10,-0.13998746479786237,-0.15122817160678267,-0.12989774628219916,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.13998746479786237,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
MacroAUC,ELR,0.1,10,-0.039732175571064565,-0.051006469879838714,-0.027956094911826542,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.039732175571064565,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
MacroAUC,ELR,0.2,10,-0.05060866174195165,-0.06850898496554843,-0.03694976989600042,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.05060866174195165,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
MacroAUC,ELR,0.3,10,-0.07275339200175773,-0.0905452714898996,-0.05683110880020342,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.07275339200175773,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
MacroAUC,ELR,0.4,10,-0.09406437297691551,-0.11195284660339007,-0.07907368824728875,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.09406437297691551,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
MacroAUC,ELR,0.5,10,-0.11429304105216949,-0.1327181896112256,-0.09857292118789247,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.11429304105216949,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
MacroAUC,AsyCo,0.1,10,-0.05455017865895939,-0.07826743878667208,-0.03247781559586626,1.0,0.00390625,0.00390625,-0.9636363636363636,-1,10000,True,-0.05455017865895939,0.00390625,0.009765625,0.009765625,-**,-**,True,,0.009765625
MacroAUC,AsyCo,0.2,10,-0.06219719418778086,-0.07291626469067526,-0.052474961267239335,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.06219719418778086,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
MacroAUC,AsyCo,0.3,10,-0.06695652014207523,-0.08396936911865151,-0.04783214827368211,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.06695652014207523,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
MacroAUC,AsyCo,0.4,10,-0.07568229766256533,-0.0941445217867552,-0.054937746293188434,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.07568229766256533,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
MacroAUC,AsyCo,0.5,10,-0.09053003478176558,-0.10472364470602008,-0.07407992781779853,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.09053003478176558,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
