metric,method,tau,n,delta,delta_ci_lo,delta_ci_hi,W,p_wilcoxon,p_perm,r_rb,direction,n_boot,perm_exact,mean_delta,p_raw,p_wilcoxon_holm,p_perm_holm,sig,sig_perm,concordant,flag,p_holm
MacroF1,SCE,0.5,10,0.06368457631676347,0.05313343402242271,0.07397308922410813,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.06368457631676347,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroF1,ELR,0.0,10,-0.15072564575709596,-0.18280873608112802,-0.10776961112375875,1.0,0.00390625,0.00390625,-0.9636363636363636,-1,10000,True,-0.15072564575709596,0.00390625,0.0234375,0.0234375,-*,-*,True,,0.0234375
MacroF1,ELR,0.1,10,-0.005471576604235323,-0.011582817804787678,0.00046817713647483806,13.0,0.16015625,0.125,-0.5272727272727273,-1,10000,True,-0.005471576604235323,0.16015625,0.48046875,0.3984375,n.s.,n.s.,True,,0.48046875
MacroF1,ELR,0.2,10,0.004439533633558185,-0.003200657783238573,0.011644314112174581,16.0,0.275390625,0.30078125,0.4181818181818182,1,10000,True,0.004439533633558185,0.275390625,0.55078125,0.6015625,n.s.,n.s.,True,,0.55078125
MacroF1,ELR,0.3,10,0.002753343058988708,-0.00411200314707077,0.009445005451286117,22.0,0.625,0.453125,0.19999999999999996,1,10000,True,0.002753343058988708,0.625,0.625,0.6015625,n.s.,n.s.,True,,0.625
MacroF1,ELR,0.4,10,-0.007438708753748147,-0.01203648710736886,-0.0027024035532472956,5.0,0.01953125,0.021484375,-0.8181818181818181,-1,10000,True,-0.007438708753748147,0.01953125,0.09765625,0.107421875,n.s.,n.s.,True,,0.09765625
MacroF1,ELR,0.5,10,-0.008215006849212711,-0.015231338299163566,0.000862679675858533,10.0,0.083984375,0.099609375,-0.6363636363636364,-1,10000,True,-0.008215006849212711,0.083984375,0.3359375,0.3984375,n.s.,n.s.,True,,0.3359375
MacroF1,AsyCo,0.0,10,-0.13281114621598342,-0.15645533145540427,-0.1095317005909097,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.13281114621598342,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroF1,AsyCo,0.1,10,0.03208424496230868,0.0181586409525668,0.04532917206230647,2.0,0.005859375,0.005859375,0.9272727272727272,1,10000,True,0.03208424496230868,0.005859375,0.029296875,0.029296875,+*,+*,True,,0.029296875
MacroF1,AsyCo,0.2,10,0.020760772789731756,0.005822401934493724,0.03556018469506028,6.0,0.02734375,0.03125,0.7818181818181819,1,10000,True,0.020760772789731756,0.02734375,0.08203125,0.0703125,n.s.,n.s.,True,,0.08203125
MacroF1,AsyCo,0.3,10,0.01951554167265882,0.007816352720632028,0.03107488728555212,4.0,0.013671875,0.017578125,0.8545454545454545,1,10000,True,0.01951554167265882,0.013671875,0.0546875,0.0703125,n.s.,n.s.,True,,0.0546875
MacroF1,AsyCo,0.4,10,0.01951833576381135,0.0024434223154996015,0.0373967350504676,9.0,0.064453125,0.060546875,0.6727272727272727,1,10000,True,0.01951833576381135,0.064453125,0.08203125,0.0703125,n.s.,n.s.,True,,0.08203125
