trial,state,value,duration_s,param_lambda,param_beta
0,COMPLETE,0.5777530512984214,2021.52734,1.7873564613001214,0.9278214378844623
1,COMPLETE,0.3923038193831042,1986.025567,6.028563143721882,0.7693963178886665
2,COMPLETE,0.6377397042789085,1997.909471,0.8500186494605505,0.5701975341512912
3,COMPLETE,0.6488581145736788,2001.403465,0.609209325111088,0.8897792655987208
4,COMPLETE,0.47420924039752066,1995.78039,3.862689194653676,0.8186326600082204
5,COMPLETE,0.6623120053975,1982.070373,0.5362604871585998,0.9364594334728974
6,COMPLETE,0.34980503367600135,1982.882265,8.483766803598272,0.5955525998052242
7,COMPLETE,0.6483574944056244,1987.26908,0.9279990423245288,0.5825320294340453
8,COMPLETE,0.5673545587165052,1988.543644,1.4072546358030324,0.7361403942345071
9,COMPLETE,0.48575920458738153,1986.921173,2.1727270548647377,0.6310531130891188
10,COMPLETE,0.36652250974831657,453.026823,4.006368751999268,0.5627722372934189
11,COMPLETE,0.5531711428081906,1546.118138,1.3505263874802735,0.6648628294821612
12,COMPLETE,0.4739935664167678,462.955901,2.3585260188125883,0.8533291826268561
13,COMPLETE,0.6394414971356014,1982.392526,0.9860805485286999,0.7314054972861253
14,COMPLETE,0.35962424672102083,450.364269,3.7500594752084933,0.520902685723999
15,COMPLETE,0.6463621795118513,1980.670368,0.5299566050063224,0.9422692426138687
16,COMPLETE,0.6429966034821775,1980.064354,0.5826214740963511,0.7784689491123684
17,COMPLETE,0.6355023467454771,1985.155503,0.5501739152056256,0.8464864040175475
18,COMPLETE,0.6009730781762158,1316.476359,1.0820629989728403,0.8707758976286947
19,COMPLETE,0.5353356778297886,799.184261,1.2582618115731101,0.944203003135329
20,COMPLETE,0.3584260900389933,451.837557,12.524128628251662,0.8343143720644891
21,COMPLETE,0.4741924494440017,451.595215,1.317263893517366,0.5031492596601069
22,COMPLETE,0.635685181870349,1980.372334,0.5300943014265433,0.6136528221974591
23,COMPLETE,0.6072814757156137,1322.844677,0.6648662402589557,0.9253567778851671
24,COMPLETE,0.658927215698057,1981.944339,0.5893445943759472,0.8444114926035357
25,COMPLETE,0.6397467927453334,1990.478155,0.5628673240978309,0.839254377634818
26,COMPLETE,0.5487372380785928,859.346051,1.0438185913312699,0.8099801361910549
27,COMPLETE,0.6559236743892413,1986.918574,0.5801372418626437,0.9153138137830159
28,COMPLETE,0.5263590503423302,636.860952,0.6962781404730308,0.919577960357524
29,COMPLETE,0.5929068769060202,1152.322629,0.6120944971381792,0.9497361916611778
30,COMPLETE,0.5040885012262297,455.995491,1.80540581448744,0.9475110969465335
31,COMPLETE,0.6424335204622154,1990.694537,0.5402996212830535,0.8444744511438809
32,COMPLETE,0.6295365840048376,1590.746969,0.5038529366966922,0.9040192068397114
33,COMPLETE,0.5061529252571237,455.125701,0.8505768287373559,0.8896596314463135
34,COMPLETE,0.6420774226067835,1987.315865,0.5165632026248225,0.9081229633295063
35,COMPLETE,0.488838961391318,459.959039,1.1892633216258692,0.8531377292554904
36,COMPLETE,0.5412335536795198,804.174681,0.8161533597773264,0.8355568861554925
37,COMPLETE,0.43695721301628804,454.297924,8.084478907509656,0.929488257895771
38,COMPLETE,0.3402481389578164,450.645259,14.718208701978199,0.726108373448407
39,COMPLETE,0.638480954553495,1994.564603,0.5047782444422844,0.8678921672056401
40,COMPLETE,0.5365295712243217,671.706201,1.1050418526868342,0.9465709652117127
41,COMPLETE,0.4819034259362788,456.771186,1.1339303755771544,0.5354506848007542
42,COMPLETE,0.488582094238479,452.783613,1.4056113077234371,0.6469583207085541
43,COMPLETE,0.6615976855704417,1995.302556,0.7044456116155078,0.5992815755462617
44,COMPLETE,0.5652951548083095,881.128823,0.5475860775330651,0.5517849061131365
45,COMPLETE,0.5147730809289225,463.925895,0.5045325323554851,0.9476489365037618
46,COMPLETE,0.6539626573447151,1992.695887,0.8191546063823333,0.6232899616225374
47,COMPLETE,0.5088364466739584,465.223735,0.8312568221257647,0.6747218035552685
48,COMPLETE,0.5171688968407644,465.090583,0.8093649594353997,0.6240535835873963
49,COMPLETE,0.6522048572957431,1996.681017,0.565476798919633,0.6823438982628037
50,COMPLETE,0.5315003075558927,584.135855,0.8721488151480091,0.6049510300136067
51,COMPLETE,0.6540176560829792,1760.810727,0.6821465534195253,0.6112101210561391
52,COMPLETE,0.5380794267797455,615.333052,0.5498374108638403,0.58729278219222
53,COMPLETE,0.5047726689738316,405.081135,1.0788381751619975,0.5955793599119092
54,COMPLETE,0.5580836086926311,726.797433,0.7364837473919362,0.6231240243520716
55,COMPLETE,0.5664132279437218,760.17779,0.5738222669473182,0.6818655592982008
56,COMPLETE,0.44050987488997606,401.679518,3.0811927144471984,0.7482717953650933
57,COMPLETE,0.5105686801915297,422.930099,1.0599290616958035,0.6147791465515082
